row_label_raw,row_label_full,Mã số,NGUỒN VÒN,Thuyết minh,Tại ngày 31 tháng 12 năm > 2022 VND,Tại ngày 31 tháng 12 năm > 2021 VND,numeric__NGUỒN VÒN,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2022 VND,numeric__Tại ngày 31 tháng 12 năm > 2021 VND
300,300,300,NỘ PHẢI TRẢ,,67.728.811.179.192,52.777.290.303.545,,,67728811179192.0,52777290303545.0
310,310,310,Nợ ngắn hạn,,21.655.413.463.861,11.210.895.768.526,,,21655413463861.0,11210895768526.0
311,311,311,Phải trả người bán ngắn hạn,15,228.412.202.057,91.745.325.698,,15.0,228412202057.0,91745325698.0
312,312,312,Người mua trả tiền trước ngắn hạn,16,334.899.278.397,321.049.926.763,,16.0,334899278397.0,321049926763.0
313,313,313,Thuế và các khoản phải nộp Nhà nước,17(b),27.595.101.289,21.303.045.705,,,27595101289.0,21303045705.0
314,314,314,Phải trả người lao động,,-,54.267.358.929,,,,54267358929.0
315,315,315,Chi phí phải trả ngắn hạn,18,1.833.059.530.393,1.052.154.345.231,,18.0,1833059530393.0,1052154345231.0
318,318,318,Doanh thu chưa thực hiện ngắn hạn,19(a),1.372.105.240,1.494.945.623,,,1372105240.0,1494945623.0
319,319,319,Phải trả ngắn hạn khác,20(a),1.398.364.185.526,2.332.971.601.319,,,1398364185526.0,2332971601319.0
320,320,320,Vay ngắn hạn,21(a),17.826.876.353.610,7.331.074.511.909,,,17826876353610.0,7331074511909.0
322,322,322,"Quỹ khen thưởng, phúc lợi",,4.834.707.349,4.834.707.349,,,4834707349.0,4834707349.0
330,330,330,Nợ dài hạn,,46.073.397.715.331,41.566.394.535.019,,,46073397715331.0,41566394535019.0
336,336,336,Doanh thu chưa thực hiện dài hạn,19(b),58.886.183.212,60.258.288.452,,,58886183212.0,60258288452.0
337,337,337,Phải trả dài hạn khác,20(b),21.517.277.979.471,18.428.633.887.567,,,21517277979471.0,18428633887567.0
338,338,338,Vay dài hạn,21(b),24.491.030.742.890,23.067.286.512.140,,,24491030742890.0,23067286512140.0
342,342,342,Dư phòng phải trả dài hạn,22,6.202.809.758,10.215.846.860,,22.0,6202809758.0,10215846860.0
400,400,400,VỐN CHỦ SỞ HỮU,,26.510.211.943.326,26.898.589.563.884,,,26510211943326.0,26898589563884.0
410,410,410,Vốn chủ sở hữu,,26.510.211.943.326,26.898.589.563.884,,,26510211943326.0,26898589563884.0
411,411,411,Vốn góp của chủ sở hữu,"24, 25",19.501.045.380.000,19.304.213.190.000,,,19501045380000.0,19304213190000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,19.501.045.380.000,19.304.213.190.000,,,19501045380000.0,19304213190000.0
412,412,412,Thặng dư vốn cổ phần,25,5.051.601.924.626,5.023.225.314.626,,25.0,5051601924626.0,5023225314626.0
421,421,421,"Lợi nhuận sau thuế (""LNST"") chưa phân phối",25,1.957.564.638.700,2.571.151.059.258,,25.0,1957564638700.0,2571151059258.0
421a,421a,421a,- LNST chưa phân phối lũy kế của các năm trước,,2.571.151.059.258,1.843.316.188.626,,,2571151059258.0,1843316188626.0
421b,421b,421b,- (Lỗ sau thuế)/LNST chưa phân phối năm nay,,(613.586.420.558),727.834.870.632,,,-613586420558.0,727834870632.0
440,440,440,TỔNG NGUỒN VỐN,,94.239.023.122.518,79.675.879.867.429,,,94239023122518.0,79675879867429.0
