row_label_raw,row_label_full,Họ và tên,Chức danh,Tiền lương,Thù lao,numeric__Chức danh,numeric__Tiền lương,numeric__Thù lao
Bùi Thành Nhơn,Bùi Thành Nhơn,Bùi Thành Nhơn,Chủ tịch HĐQT,-,61.290.323,,,61290323.0
Bùi Xuân Huy,Bùi Xuân Huy,Bùi Xuân Huy,Chủ tịch HĐQT,-,1.144.838.710,,,1144838710.0
Hoàng Thu Châu,Hoàng Thu Châu,Hoàng Thu Châu,Thành viên HĐQT,-,120.000.000,,,120000000.0
Nguyễn Ngọc Huyên,Nguyễn Ngọc Huyên,Nguyễn Ngọc Huyên,Thành viên HĐQT,-,30.000.000,,,30000000.0
Nguyễn Đức Dũng,Nguyễn Đức Dũng,Nguyễn Đức Dũng,Thành viên HĐQT,-,30.000.000,,,30000000.0
Jeffrey David Perlman,Jeffrey David Perlman,Jeffrey David Perlman,Thành viên HĐQT,-,-,,,
Phạm Tiến Vân,Jeffrey David Perlman > Phạm Tiến Vân,Phạm Tiến Vân,Thành viên HĐQT,-,600.000.000,,,600000000.0
Lê Quốc Hùng,Jeffrey David Perlman > Lê Quốc Hùng,Lê Quốc Hùng,Thành viên HĐQT,-,300.000.000,,,300000000.0
Nguyễn Mỹ Hạnh,Jeffrey David Perlman > Nguyễn Mỹ Hạnh,Nguyễn Mỹ Hạnh,Thành viên HĐQT,-,600.000.000,,,600000000.0
Bùi Xuân Huy,Jeffrey David Perlman > Bùi Xuân Huy,Bùi Xuân Huy,Tổng Giám đốc,409.090.909,-,,409090909.0,
Hoàng Thu Châu,Jeffrey David Perlman > Hoàng Thu Châu,Hoàng Thu Châu,Phó Tổng giám đốc,272.727.273,-,,272727273.0,
Nguyễn Ngọc Huyên,Jeffrey David Perlman > Nguyễn Ngọc Huyên,Nguyễn Ngọc Huyên,Tổng giám đốc,4.081.980.826,-,,4081980826.0,
Dương Thị Thu Thủy,Jeffrey David Perlman > Dương Thị Thu Thủy,Dương Thị Thu Thủy,Phó Tổng giám đốc,2.065.259.901,-,,2065259901.0,
Võ Thị Cao Ly,Jeffrey David Perlman > Võ Thị Cao Ly,Võ Thị Cao Ly,Phó Tổng giám đốc,2.896.718.481,-,,2896718481.0,
Huỳnh Minh Lâm,Jeffrey David Perlman > Huỳnh Minh Lâm,Huỳnh Minh Lâm,Kế toán trường,996.717.273,-,,996717273.0,
Nguyễn Đức Dũng,Jeffrey David Perlman > Nguyễn Đức Dũng,Nguyễn Đức Dũng,Giám đốc Tài chính,2.363.272.727,-,,2363272727.0,
