row_label_raw,row_label_full,col_0,Tại ngày1.1.2022VND,Nhận tiền vayVND,Chênh lệch tỷ giáVND,Vay dài hạnđến hạn trảVND,Trả nợ vay/phân bố chi phíphát hành tráiphiềuVND,Tại ngày31.12.2022VND,Số có khả năng trảnợVND,numeric__Tại ngày1.1.2022VND,numeric__Nhận tiền vayVND,numeric__Chênh lệch tỷ giáVND,numeric__Vay dài hạnđến hạn trảVND,numeric__Trả nợ vay/phân bố chi phíphát hành tráiphiềuVND,numeric__Tại ngày31.12.2022VND,numeric__Số có khả năng trảnợVND
Vay ngân hàng (*),Vay ngân hàng (*),Vay ngân hàng (*),1.849.985.717.560,4.851.800.000.000,(21.499.999.838),(1.315.665.712.976),(642.120.000.000),4.722.500.004.746,4.722.500.004.746,1849985717560.0,4851800000000.0,-21499999838.0,-1315665712976.0,-642120000000.0,4722500004746.0,4722500004746.0
Vay bên thử ba (**),Vay bên thử ba (**),Vay bên thử ba (**),2.676.804.000.000,4.767.050.000.000,131.749.439.920,(2.489.286.075.750),-,5.086.317.364.170,5.086.317.364.170,2676804000000.0,4767050000000.0,131749439920.0,-2489286075750.0,,5086317364170.0,5086317364170.0
Trái phiếu (***),Trái phiếu (***),Trái phiếu (***),18.974.459.200.000,9.941.140.800.000,241.866.000.000,(14.015.600.000.000),(32.088.000.000),15.109.778.000.000,15.109.778.000.000,18974459200000.0,9941140800000.0,241866000000.0,-14015600000000.0,-32088000000.0,15109778000000.0,15109778000000.0
Chi phí phát hànhtrái phiếu,Chi phí phát hànhtrái phiếu,Chi phí phát hànhtrái phiếu,(433.962.405.420),(297.631.129.285),-,158.171.483.565,145.857.425.114,(427.564.626.026),(427.564.626.026),-433962405420.0,-297631129285.0,,158171483565.0,145857425114.0,-427564626026.0,-427564626026.0
,,,23.067.286.512.140,19.262.359.670.715,352.115.440.082,(17.662.380.305.161),(528.350.574.886),24.491.030.742.890,24.491.030.742.890,23067286512140.0,19262359670715.0,352115440082.0,-17662380305161.0,-528350574886.0,24491030742890.0,24491030742890.0
