row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Khônghuống lãiTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Dưới1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ 1 đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ trên 3đến6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ trên 6đến12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ trên 1đến5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Tổng cộngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Khônghuống lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Dưới1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ 1 đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ trên 3đến6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ trên 6đến12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ trên 1đến5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.639.349,-,-,-,-,-,-,1.639.349,,1639349.0,,,,,,,1639349.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,9.909.074,-,-,-,-,-,-,9.909.074,,9909074.0,,,,,,,9909074.0
Tiền gửi và cho vaycác TCTD khác - gộp,Tài sản > Tiền gửi và cho vaycác TCTD khác - gộp,Tiền gửi và cho vaycác TCTD khác - gộp,-,-,86.466.379,15.412.422,3.030.098,679.617,-,-,105.588.516,,,86466379.0,15412422.0,3030098.0,679617.0,,,105588516.0
Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Các công cụ tài chính phải sinh và cáctài sản tài chính khác,-,821.872,-,-,-,-,-,-,821.872,,821872.0,,,,,,,821872.0
Cho vay khách hàngvà hoạt động mua nợ - gộp,Tài sản > Cho vay khách hàngvà hoạt động mua nợ - gộp,Cho vay khách hàngvà hoạt động mua nợ - gộp,7.014.577,-,37.861.052,88.092.922,78.337.029,69.648.779,42.892.951,171.249,324.018.559,7014577.0,,37861052.0,88092922.0,78337029.0,69648779.0,42892951.0,171249.0,324018559.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,42.380,-,499.994,50.128,5.500.418,34.061.915,553.712,9.679.645,50.388.192,42380.0,,499994.0,50128.0,5500418.0,34061915.0,553712.0,9679645.0,50388192.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,919.667,-,-,-,-,-,-,919.667,,919667.0,,,,,,,919667.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,793.660,-,-,-,-,-,-,793.660,,793660.0,,,,,,,793660.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,4.934.939,-,-,-,-,-,-,4.934.939,,4934939.0,,,,,,,4934939.0
