row_label_raw,row_label_full,col_0,2024Triệu VND,2023Triệu VND(Phân loại lại),numeric__2024Triệu VND,numeric__2023Triệu VND(Phân loại lại)
Thu nhập lãi và các khoản thu nhập tương tự từCho vay khách hàng và cho vay các TCTD khác,Thu nhập lãi và các khoản thu nhập tương tự từCho vay khách hàng và cho vay các TCTD khác,Thu nhập lãi và các khoản thu nhập tương tự từCho vay khách hàng và cho vay các TCTD khác,28.688.072,32.074.686,28688072.0,32074686.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,2.616.090,3.939.794,2616090.0,3939794.0
Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,1.088.071,630.298,1088071.0,630298.0
Phí nghiệp vụ bảo lãnh,Phí nghiệp vụ bảo lãnh,Phí nghiệp vụ bảo lãnh,48.585,44.650,48585.0,44650.0
,,,32.440.818,36.689.428,32440818.0,36689428.0
Chi phí lãi và các chi phí tương tự choTiền gửi từ khách hàng và các TCTD khác,Chi phí lãi và các chi phí tương tự choTiền gửi từ khách hàng và các TCTD khác,Chi phí lãi và các chi phí tương tự choTiền gửi từ khách hàng và các TCTD khác,(12.712.081),(15.213.059),-12712081.0,-15213059.0
Giấy tờ có giá đã phát hành,Giấy tờ có giá đã phát hành,Giấy tờ có giá đã phát hành,(1.112.775),(1.492.131),-1112775.0,-1492131.0
Tiền vay và vốn ủy thác,Tiền vay và vốn ủy thác,Tiền vay và vốn ủy thác,(1.849.522),(1.483.083),-1849522.0,-1483083.0
Các hoạt động tín dụng khác,Các hoạt động tín dụng khác,Các hoạt động tín dụng khác,(33.675),(42.224),-33675.0,-42224.0
,,,(15.708.053),(18.230.497),-15708053.0,-18230497.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,16.732.765,18.458.931,16732765.0,18458931.0
