row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023,USDTriệu VND,EURTriệu VND,Tiền tệ khácTriệu VND,Tổng cộngTriệu VND,numeric__USDTriệu VND,numeric__EURTriệu VND,numeric__Tiền tệ khácTriệu VND,numeric__Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,384.279,47.009,27.533,458.821,384279.0,47009.0,27533.0,458821.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,434.289,60,-,434.349,434289.0,60.0,,434349.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,361.842,72.991,97.261,532.094,361842.0,72991.0,97261.0,532094.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,34.662.128,228.187,182.556,35.072.871,34662128.0,228187.0,182556.0,35072871.0
Cho vay khách hàng và hoạt động mua nợ - gộp,Tài sản > Cho vay khách hàng và hoạt động mua nợ - gộp,Cho vay khách hàng và hoạt động mua nợ - gộp,1.856.557,-,-,1.856.557,1856557.0,,,1856557.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",542,-,-,542,542.0,,,542.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,822.132,810,15,822.957,822132.0,810.0,15.0,822957.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,38.521.769,349.057,307.365,39.178.191,38521769.0,349057.0,307365.0,39178191.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,30.797.784,-,-,30.797.784,30797784.0,,,30797784.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,9.241.118,341.201,301.388,9.883.707,9241118.0,341201.0,301388.0,9883707.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,174.301,4.497,354,179.152,174301.0,4497.0,354.0,179152.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,40.213.203,345.698,301.742,40.860.643,40213203.0,345698.0,301742.0,40860643.0
Trạng thái tiền tệ nội bảng,Nợ phải trả > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,(1.691.434),3.359,5.623,(1.682.452),-1691434.0,3359.0,5623.0,-1682452.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,(15.310),-,2.211,(13.099),-15310.0,,2211.0,-13099.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",(1.706.744),3.359,7.834,(1.695.551),-1706744.0,3359.0,7834.0,-1695551.0
