row_label_raw,row_label_full,col_0,Thuyết minh,2024 Triệu VND,2023 Triệu VND (Phân loại lại),numeric__Thuyết minh,numeric__2024 Triệu VND,numeric__2023 Triệu VND (Phân loại lại)
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,27,32.440.818,36.689.428,27.0,32440818.0,36689428.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,27,(15.708.053),(18.230.497),27.0,-15708053.0,-18230497.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,27,16.732.765,18.458.931,27.0,16732765.0,18458931.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,28,3.009.933,3.427.748,28.0,3009933.0,3427748.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,28,(1.435.325),(1.408.433),28.0,-1435325.0,-1408433.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,28,1.574.608,2.019.315,28.0,1574608.0,2019315.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,29,500.968,548.470,29.0,500968.0,548470.0
Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,30,247.967,129.730,30.0,247967.0,129730.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,1.487.359,820.887,,1487359.0,820887.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,(193.195),(32.363),,-193195.0,-32363.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,31,1.294.164,788.524,31.0,1294164.0,788524.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",,3.746,23.909,,3746.0,23909.0
Tổng thu nhập hoạt động,Tổng thu nhập hoạt động,Tổng thu nhập hoạt động,,20.354.218,21.968.879,,20354218.0,21968879.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,32,(7.056.526),(6.481.984),32.0,-7056526.0,-6481984.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,13.297.692,15.486.895,,13297692.0,15486895.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,33,(4.353.458),(4.845.805),33.0,-4353458.0,-4845805.0
Tổng lợi nhuận trước thuế (mang sang trang sau),Tổng lợi nhuận trước thuế (mang sang trang sau),Tổng lợi nhuận trước thuế (mang sang trang sau),,8.944.234,10.641.090,,8944234.0,10641090.0
