row_label_raw,row_label_full,col_0,2024Triệu VND,2023Triệu VND(Phân loại lại),numeric__2024Triệu VND,numeric__2023Triệu VND(Phân loại lại)
LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,
Mua sắm tài sản cố định (“TSCĐ”),LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Mua sắm tài sản cố định (“TSCĐ”),Mua sắm tài sản cố định (“TSCĐ”),(225.579),(223.003),-225579.0,-223003.0
"Tiền thu từ thanh lý, nhượng bán TSCĐ","LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý, nhượng bán TSCĐ","Tiền thu từ thanh lý, nhượng bán TSCĐ",-,2.388,,2388.0
"Tiền chi đầu tư, góp vốn vào các đơn vị khác","LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi đầu tư, góp vốn vào các đơn vị khác","Tiền chi đầu tư, góp vốn vào các đơn vị khác",-,(500.000),,-500000.0
"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư,góp vốn dài hạn","LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư,góp vốn dài hạn","Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư,góp vốn dài hạn",3.746,40.361,3746.0,40361.0
LU'U CHUYÊN TIỀN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > LU'U CHUYÊN TIỀN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,(221.833),(680.254),-221833.0,-680254.0
LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,
"Cổ tức trả cho cổ đông, lợi nhuận đã chia","LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Cổ tức trả cho cổ đông, lợi nhuận đã chia","Cổ tức trả cho cổ đông, lợi nhuận đã chia",(3.171.009),(3.161.510),-3171009.0,-3161510.0
Tiền thu được do bán cổ phiếu lẻ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu được do bán cổ phiếu lẻ,Tiền thu được do bán cổ phiếu lẻ,134,93,134.0,93.0
LU'U CHUYÊN TIỀN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > LU'U CHUYÊN TIỀN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,(3.170.875),(3.161.417),-3170875.0,-3161417.0
LU'U CHUYÊN TIỀN THUÀN TRONG NĂM,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > LU'U CHUYÊN TIỀN THUÀN TRONG NĂM,LU'U CHUYÊN TIỀN THUÀN TRONG NĂM,(4.885.011),26.439.410,-4885011.0,26439410.0
TIỀN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIỀN ĐẦU NĂM,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > TIỀN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIỀN ĐẦU NĂM,TIỀN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIỀN ĐẦU NĂM,66.280.978,39.841.568,66280978.0,39841568.0
TIỀN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIỀNCUỐI NĂM (THUYẾT MINH 26),LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > TIỀN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIỀNCUỐI NĂM (THUYẾT MINH 26),TIỀN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIỀNCUỐI NĂM (THUYẾT MINH 26),61.395.967,66.280.978,61395967.0,66280978.0
