row_label_raw,row_label_full,Loại tiền,Mức tăng lãi suất31/12/2023,Mức độ ảnh hưởng tăng/(giảm) đến lợi nhuận trước thuế cho năm kết thúc ngày31/12/2023Triệu VND,numeric__Mức tăng lãi suất31/12/2023,numeric__Mức độ ảnh hưởng tăng/(giảm) đến lợi nhuận trước thuế cho năm kết thúc ngày31/12/2023Triệu VND
VND,VND,VND,"1,00%",(60.149),0.01,-60149.0
USD,USD,USD,"0,25%",151.108,0.0025,151108.0
