row_label_raw,row_label_full,Chỉ tiêu,20243Triệu VND(Phân loại lại),2023Triệu VND(Theo báo cáotrước đây),numeric__20243Triệu VND(Phân loại lại),numeric__2023Triệu VND(Theo báo cáotrước đây)
BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG,,
Thu nhập lãi và các khoản thu nhập tương tự,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,36.689.428,35.565.910,36689428.0,35565910.0
Thu nhập từ hoạt động dịch vụ,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,3.427.748,4.615.506,3427748.0,4615506.0
Chi phí hoạt động dịch vụ,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(1.408.433),(1.472.673),-1408433.0,-1472673.0
BÁO CÁO LUÙ CHUYỀN TIỀN TỆ RIÊNG,BÁO CÁO LUÙ CHUYỀN TIỀN TỆ RIÊNG,BÁO CÁO LUÙ CHUYỀN TIỀN TỆ RIÊNG,BÁO CÁO LUÙ CHUYỀN TIỀN TỆ RIÊNG,BÁO CÁO LUÙ CHUYỀN TIỀN TỆ RIÊNG,,
Thu nhập lãi và các khoản thu nhập tương tự nhận được,BÁO CÁO LUÙ CHUYỀN TIỀN TỆ RIÊNG > Thu nhập lãi và các khoản thu nhập tương tự nhận được,Thu nhập lãi và các khoản thu nhập tương tự nhận được,35.458.437,34.334.919,35458437.0,34334919.0
Thu nhập từ hoạt động dịch vụ nhận được,BÁO CÁO LUÙ CHUYỀN TIỀN TỆ RIÊNG > Thu nhập từ hoạt động dịch vụ nhận được,Thu nhập từ hoạt động dịch vụ nhận được,2.019.315,3.142.833,2019315.0,3142833.0
