row_label_raw,row_label_full,Ông Đăng Khắc Vỹ,Chủ tịch,numeric__Chủ tịch
Ông Đăng Văn Sơn,Ông Đăng Văn Sơn,Ông Đăng Văn Sơn,Phó Chủ tịch,
Ông Hàn Ngọc Vũ,Ông Hàn Ngọc Vũ,Ông Hàn Ngọc Vũ,Thành viên kiểm Tổng Giám đốc,
Ông Đỗ Xuân Hoàng,Ông Đỗ Xuân Hoàng,Ông Đỗ Xuân Hoàng,Thành viên,
Bà Nguyễn Thị Bích Hạnh,Bà Nguyễn Thị Bích Hạnh,Bà Nguyễn Thị Bích Hạnh,Thành viên độc lập,
