row_label_raw,row_label_full,col_0,Phần mềm máy vi tính Triệu VND,Tài sãn cố định vô hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Phần mềm máy vi tính Triệu VND,numeric__Tài sãn cố định vô hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,687.060,7.246,694.306,687060.0,7246.0,694306.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,82.176,-,82.176,82176.0,,82176.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,769.236,7.246,776.482,769236.0,7246.0,776482.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,397.602,7.246,404.848,397602.0,7246.0,404848.0
Khẩu hao trong năm,Hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,69.571,-,69.571,69571.0,,69571.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,467.173,7.246,474.419,467173.0,7246.0,474419.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,289.458,-,289.458,289458.0,,289458.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,302.063,-,302.063,302063.0,,302063.0
