row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Khônghuống lãiTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Dưới1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Từ trên 1đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Từ trên 3đến6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Từ trên 6đến12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Từ trên 1đến5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Tổng cộngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Khônghuống lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Dưới1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Từ trên 1đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Từ trên 3đến6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Từ trên 6đến12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Từ trên 1đến5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.681.052,-,-,-,-,-,-,1.681.052,,1681052.0,,,,,,,1681052.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,8.217.767,-,-,-,-,-,-,8.217.767,,8217767.0,,,,,,,8217767.0
Tiền gửi và cho vaycác TCTD khác - gộp,Tài sản > Tiền gửi và cho vaycác TCTD khác - gộp,Tiền gửi và cho vaycác TCTD khác - gộp,-,-,57.551.806,5.682.927,2.744.831,2.218.010,-,-,68.197.574,,,57551806.0,5682927.0,2744831.0,2218010.0,,,68197574.0
Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Các công cụ tài chính phải sinh và cáctài sản tài chính khác,-,156.721,-,-,-,-,-,-,156.721,,156721.0,,,,,,,156721.0
Cho vay khách hàngvà hoạt động mua nợ - gộp,Tài sản > Cho vay khách hàngvà hoạt động mua nợ - gộp,Cho vay khách hàngvà hoạt động mua nợ - gộp,3.406.940,-,41.517.561,90.764.974,50.712.613,64.218.736,15.732.429,8.787,266.362.040,3406940.0,,41517561.0,90764974.0,50712613.0,64218736.0,15732429.0,8787.0,266362040.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,42.380,-,4.673.617,9.697.710,4.748.737,24.725.077,6.113.096,10.998.041,60.998.658,42380.0,,4673617.0,9697710.0,4748737.0,24725077.0,6113096.0,10998041.0,60998658.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,919.667,-,-,-,-,-,-,919.667,,919667.0,,,,,,,919667.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,754.046,-,-,-,-,-,-,754.046,,754046.0,,,,,,,754046.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,7.180.564,-,-,-,-,-,-,7.180.564,,7180564.0,,,,,,,7180564.0
