row_label_raw,row_label_full,col_0,Tổng giá trị của hợp đồng(theo tỷ giá tại ngày hiệu lực hợp đồng),Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo),numeric__Tổng giá trị của hợp đồng(theo tỷ giá tại ngày hiệu lực hợp đồng),numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo)
,,,Triệu VND,Tài sản/(Nợ phải trả)Triệu VND,,
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,,
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2024 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,15.309.657,12.148,15309657.0,12148.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2024 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,163.623.724,831.138,163623724.0,831138.0
Giao dịch hoán đổi lãi suất,Tại ngày 31 tháng 12 năm 2024 > Giao dịch hoán đổi lãi suất,Giao dịch hoán đổi lãi suất,13.594.442,(21.414),13594442.0,-21414.0
,,,192.527.823,821.872,192527823.0,821872.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,,
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2023 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,3.453.760,(726),3453760.0,-726.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2023 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,111.453.064,141.488,111453064.0,141488.0
Giao dịch hoán đổi lãi suất,Tại ngày 31 tháng 12 năm 2023 > Giao dịch hoán đổi lãi suất,Giao dịch hoán đổi lãi suất,3.354.490,15.959,3354490.0,15959.0
,,,118.261.314,156.721,118261314.0,156721.0
