row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2024 Triệu VND,31/12/2023 Triệu VND,numeric__Thuyết minh,numeric__31/12/2024 Triệu VND,numeric__31/12/2023 Triệu VND
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,38,345.248.653,227.964.990,38.0,345248653.0,227964990.0
Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,,9.093.526,1.762.364,,9093526.0,1762364.0
Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,,7.688.387,1.775.463,,7688387.0,1775463.0
Cam kết giao dịch hoán đổi,Cam kết giao dịch hoán đổi,Cam kết giao dịch hoán đổi,,328.466.740,224.427.163,,328466740.0,224427163.0
Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,38,2.750.599,1.943.650,38.0,2750599.0,1943650.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,38,7.185.571,7.025.057,38.0,7185571.0,7025057.0
Các cam kết khác,Các cam kết khác,Các cam kết khác,38,68.292.253,38.380.834,38.0,68292253.0,38380834.0
Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,39,3.517.653,3.162.280,39.0,3517653.0,3162280.0
Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,40,21.628.603,18.479.513,40.0,21628603.0,18479513.0
Tài sản và chứng từ khác,Tài sản và chứng từ khác,Tài sản và chứng từ khác,41,20.795.232,29.531.434,41.0,20795232.0,29531434.0
