row_label_raw,row_label_full,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Việt Nam VND,Châu Á (ngoại trừ Việt Nam VND,Châu Âu VND,Châu Mỹ VND,Châu Phi VND,Châu Úc VND,Hợp nhất VND,numeric__Việt Nam VND,numeric__Châu Á (ngoại trừ Việt Nam VND,numeric__Châu Âu VND,numeric__Châu Mỹ VND,numeric__Châu Phi VND,numeric__Châu Úc VND,numeric__Hợp nhất VND
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,84.665.685.805.659,18.725.185.154.017,12.686.192.891.149,1.872.888.092.475,77.816.543.781,925.259.406.573,118.953.027.893.654,84665685805659.0,18725185154017.0,12686192891149.0,1872888092475.0,77816543781.0,925259406573.0,118953027893654.0
Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Việt Nam VND,Châu Á (ngoại trừ Việt Nam) VND,Châu Âu VND,Châu Mỹ VND,Châu Phi VND,Châu Úc VND,Hợp nhất VND,,,,,,,
Tổng doanh thu của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,109.862.209.337.080,20.304.881.189.363,3.017.404.546.074,6.972.931.662.935,430.839.737.175,821.007.988.005,141.409.274.460.632,109862209337080.0,20304881189363.0,3017404546074.0,6972931662935.0,430839737175.0,821007988005.0,141409274460632.0
