row_label_raw,row_label_full,col_0,Công ty CP Đầu tư nước ngoài Hòa Phát VND,Hoa Phat Trading International Pte Ltd. VND,Dragon Trading and Investment Pty Ltd. VND,Tổng cộng VND,numeric__Công ty CP Đầu tư nước ngoài Hòa Phát VND,numeric__Hoa Phat Trading International Pte Ltd. VND,numeric__Dragon Trading and Investment Pty Ltd. VND,numeric__Tổng cộng VND
Tiền các khoản tương đương tiền,Tiền các khoản tương đương tiền,Tiền các khoản tương đương tiền,60.845.313.974,710.676.272.078,22.647.999.178,794.169.585.230,60845313974.0,710676272078.0,22647999178.0,794169585230.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,289.000.000.000,205.212.000.000,-,494.212.000.000,289000000000.0,205212000000.0,,494212000000.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,2.899.147.502,11.164.466.435,-,14.063.613.937,2899147502.0,11164466435.0,,14063613937.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,55.192.013.718,-,-,55.192.013.718,55192013718.0,,,55192013718.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,4.436.025.474,50.091.761,-,4.486.117.235,4436025474.0,50091761.0,,4486117235.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,16.594.846.098,-,-,16.594.846.098,16594846098.0,,,16594846098.0
Các tài sản dài hạn khác,Các tài sản dài hạn khác,Các tài sản dài hạn khác,366.200.158.095,10.314.633.542,-,376.514.791.637,366200158095.0,10314633542.0,,376514791637.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,(423.005.009.252),(909.566.383.653),(3.126.917.604),(1.335.698.310.509),-423005009252.0,-909566383653.0,-3126917604.0,-1335698310509.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,(18.508.477.229),(2.921.166.191),-,(21.429.643.420),-18508477229.0,-2921166191.0,,-21429643420.0
Tài sản thuần của công ty con tại ngày thanh lý,Tài sản thuần của công ty con tại ngày thanh lý,Tài sản thuần của công ty con tại ngày thanh lý,353.654.018.380,24.929.913.972,19.521.081.574,398.105.013.926,353654018380.0,24929913972.0,19521081574.0,398105013926.0
Phần sở hữu của Công ty tại công ty con bị thanh lý,Phần sở hữu của Công ty tại công ty con bị thanh lý,Phần sở hữu của Công ty tại công ty con bị thanh lý,353.545.030.053,24.929.913.972,19.521.081.574,397.996.025.599,353545030053.0,24929913972.0,19521081574.0,397996025599.0
Giá phí thanh lý,Giá phí thanh lý,Giá phí thanh lý,220.000.000.000,24.050.000.000,24.065.000.000,268.115.000.000,220000000000.0,24050000000.0,24065000000.0,268115000000.0
Tiền và các khoản tương đương tiền của công ty con tại ngày thanh lý,Tiền và các khoản tương đương tiền của công ty con tại ngày thanh lý,Tiền và các khoản tương đương tiền của công ty con tại ngày thanh lý,(60.845.313.974),(710.676.272.078),(22.647.999.178),(794.169.585.230),-60845313974.0,-710676272078.0,-22647999178.0,-794169585230.0
Dòng tiền thuần từ thanh lý công ty con,Dòng tiền thuần từ thanh lý công ty con,Dòng tiền thuần từ thanh lý công ty con,159.154.686.026,(686.626.272.078),1.417.000.822,(526.054.585.230),159154686026.0,-686626272078.0,1417000822.0,-526054585230.0
