row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thép VND,Nông nghiệp VND,Bất động sản VND,Loại trừ VND,Hợp nhất VND,numeric__Sản xuất và kinh doanh thép VND,numeric__Nông nghiệp VND,numeric__Bất động sản VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Cho năm kết thúcngày 31 tháng 12 năm 2022,Cho năm kết thúcngày 31 tháng 12 năm 2022,Cho năm kết thúcngày 31 tháng 12 năm 2022,Cho năm kết thúcngày 31 tháng 12 năm 2022,Cho năm kết thúcngày 31 tháng 12 năm 2022,Cho năm kết thúcngày 31 tháng 12 năm 2022,Cho năm kết thúcngày 31 tháng 12 năm 2022,Cho năm kết thúcngày 31 tháng 12 năm 2022,,,,,
Doanh thu thuần ra bên ngoài,Cho năm kết thúcngày 31 tháng 12 năm 2022 > Doanh thu thuần ra bên ngoài,Doanh thu thuần ra bên ngoài,134.011.067.013.727,6.757.321.041.790,640.886.405.115,-,141.409.274.460.632,134011067013727.0,6757321041790.0,640886405115.0,,141409274460632.0
Doanh thu thuần giữa các bộ phận,Cho năm kết thúcngày 31 tháng 12 năm 2022 > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,22.585.997.542.311,593.568.970,45.544.616.062,(22.632.135.727.343),-,22585997542311.0,593568970.0,45544616062.0,-22632135727343.0,
Tổng doanh thu của bộ phận,Cho năm kết thúcngày 31 tháng 12 năm 2022 > Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,156.597.064.556.038,6.757.914.610.760,686.431.021.177,(22.632.135.727.343),141.409.274.460.632,156597064556038.0,6757914610760.0,686431021177.0,-22632135727343.0,141409274460632.0
Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,Cho năm kết thúcngày 31 tháng 12 năm 2022 > Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,13.063.886.618.755,60.112.060.947,435.689.913.123,(3.764.585.297.932),9.795.103.294.893,13063886618755.0,60112060947.0,435689913123.0,-3764585297932.0,9795103294893.0
Thu nhập khác,Cho năm kết thúcngày 31 tháng 12 năm 2022 > Thu nhập khác,Thu nhập khác,865.767.378.550,5.435.913.098,895.777.220,(74.343.942),872.024.724.926,865767378550.0,5435913098.0,895777220.0,-74343942.0,872024724926.0
Chi phí khác,Cho năm kết thúcngày 31 tháng 12 năm 2022 > Chi phí khác,Chi phí khác,(746.476.011.293),(2.803.299.749),(592.186.372),6.757.272.463,(743.114.224.951),-746476011293.0,-2803299749.0,-592186372.0,6757272463.0,-743114224951.0
Phần lãi/(lỗ) trong công ty liên kết,Cho năm kết thúcngày 31 tháng 12 năm 2022 > Phần lãi/(lỗ) trong công ty liên kết,Phần lãi/(lỗ) trong công ty liên kết,3.105.560,(1.072.667.584),-,(3.105.560),(1.072.667.584),3105560.0,-1072667584.0,,-3105560.0,-1072667584.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Cho năm kết thúcngày 31 tháng 12 năm 2022 > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,(856.187.502.888),(35.805.597.826),(109.027.139.372),-,(1.001.020.240.086),-856187502888.0,-35805597826.0,-109027139372.0,,-1001020240086.0
Chi phí thuế thu nhập hoãn lại,Cho năm kết thúcngày 31 tháng 12 năm 2022 > Chi phí thuế thu nhập hoãn lại,Chi phí thuế thu nhập hoãn lại,(59.128.768.252),(3.415.404.852),(28.454.750.136),(386.492.909.442),(477.491.832.682),-59128768252.0,-3415404852.0,-28454750136.0,-386492909442.0,-477491832682.0
Lợi nhuận thuần sau thuế,Cho năm kết thúcngày 31 tháng 12 năm 2022 > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,12.267.864.820.432,22.451.004.034,298.511.614.463,(4.144.398.384.413),8.444.429.054.516,12267864820432.0,22451004034.0,298511614463.0,-4144398384413.0,8444429054516.0
