row_label_raw,row_label_full,col_0,Chi phíbảo hànhVND,Dự phòng khốiphục môi trườngVND,Tổng cộngVND,numeric__Chi phíbảo hànhVND,numeric__Dự phòng khốiphục môi trườngVND,numeric__Tổng cộngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,26.559.456.845,36.207.636.043,62.767.092.888,26559456845.0,36207636043.0,62767092888.0
Dự phòng lập trong năm,Dự phòng lập trong năm,Dự phòng lập trong năm,11.073.362.141,6.125.513.542,17.198.875.683,11073362141.0,6125513542.0,17198875683.0
Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,(8.849.185),-,(8.849.185),-8849185.0,,-8849185.0
Dự phòng hoàn nhập trong năm,Dự phòng hoàn nhập trong năm,Dự phòng hoàn nhập trong năm,(4.659.853.192),-,(4.659.853.192),-4659853192.0,,-4659853192.0
Thanh lý công ty con,Thanh lý công ty con,Thanh lý công ty con,-,(12.074.520.800),(12.074.520.800),,-12074520800.0,-12074520800.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,32.964.116.609,30.258.628.785,63.222.745.394,32964116609.0,30258628785.0,63222745394.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,8.054.106.025,-,8.054.106.025,8054106025.0,,8054106025.0
Dải hạn,Trong đó: > Dải hạn,Dải hạn,24.910.010.584,30.258.628.785,55.168.639.369,24910010584.0,30258628785.0,55168639369.0
