row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,Tài sản khácVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__Tài sản khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,246.682.797.431,153.261.937.723,344.593.342.819,744.538.077.973,246682797431.0,153261937723.0,344593342819.0,744538077973.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,6.720.000.000,4.921.326.196,-,11.641.326.196,6720000000.0,4921326196.0,,11641326196.0
Chuyển từ xây dựng cơbản dở dang,Nguyên giá > Chuyển từ xây dựng cơbản dở dang,Chuyển từ xây dựng cơbản dở dang,-,14.394.887.332,-,14.394.887.332,,14394887332.0,,14394887332.0
Thanh lý công ty con,Nguyên giá > Thanh lý công ty con,Thanh lý công ty con,-,(87.000.000),(340.780.234.215),(340.867.234.215),,-87000000.0,-340780234215.0,-340867234215.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(65.698.990.160),-,-,(65.698.990.160),-65698990160.0,,,-65698990160.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(9.309.137.200),(51.000.000),2.383.401.823,(6.976.735.377),-9309137200.0,-51000000.0,2383401823.0,-6976735377.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,178.394.670.071,172.440.151.251,6.196.510.427,357.031.331.749,178394670071.0,172440151251.0,6196510427.0,357031331749.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,28.616.540.686,78.074.876.195,4.084.684.763,110.776.101.644,28616540686.0,78074876195.0,4084684763.0,110776101644.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.842.569.351,33.255.153.705,170.079.924,36.267.802.980,2842569351.0,33255153705.0,170079924.0,36267802980.0
Thanh lý công ty con,Giá trị hao mòn lũy kế > Thanh lý công ty con,Thanh lý công ty con,-,(77.011.121),-,(77.011.121),,-77011121.0,,-77011121.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(1.054.713.324),-,-,(1.054.713.324),-1054713324.0,,,-1054713324.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,30.404.396.713,111.253.018.779,4.254.764.687,145.912.180.179,30404396713.0,111253018779.0,4254764687.0,145912180179.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,218.066.256.745,75.187.061.528,340.508.658.056,633.761.976.329,218066256745.0,75187061528.0,340508658056.0,633761976329.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,147.990.273.358,61.187.132.472,1.941.745.740,211.119.151.570,147990273358.0,61187132472.0,1941745740.0,211119151570.0
