row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Chênh lệch tỷ giá VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Chênh lệch tỷ giá VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,58.147.857.000.000,3.211.560.416.270,(20.652.355.005),834.782.434.216,33.833.829.973.987,105.562.146.315,96.112.939.615.783,58147857000000.0,3211560416270.0,-20652355005.0,834782434216.0,33833829973987.0,105562146315.0,96112939615783.0
Góp vốn,Góp vốn,Góp vốn,-,-,-,-,-,700.000.000,700.000.000,,,,,,700000000.0,700000000.0
Trả lại vốn cho cổ đông thiểu số,Trả lại vốn cho cổ đông thiểu số,Trả lại vốn cho cổ đông thiểu số,-,-,-,-,-,(2.343.640.000),(2.343.640.000),,,,,,-2343640000.0,-2343640000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,6.835.064.334.356,(34.676.019.275),6.800.388.315.081,,,,,6835064334356.0,-34676019275.0,6800388315081.0
Thanh lý công ty con,Thanh lý công ty con,Thanh lý công ty con,-,-,16.749.593.185,-,(16.747.035.416),(111.546.096),(108.988.327),,,16749593185.0,,-16747035416.0,-111546096.0,-108988327.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,(63.643.584.405),(6.415.595),(63.650.000.000),,,,,-63643584405.0,-6415595.0,-63650000000.0
Công ty con trả cổ tức cho cổ đông không kiểm soát,Công ty con trả cổ tức cho cổ đông không kiểm soát,Công ty con trả cổ tức cho cổ đông không kiểm soát,-,-,-,-,-,(3.354.678.858),(3.354.678.858),,,,,,-3354678858.0,-3354678858.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,(16.582.120.252),-,-,(16.582.120.252),,,,-16582120252.0,,,-16582120252.0
Ảnh hưởng của việc chuyển đổi đồng tiền báo cáo,Ảnh hưởng của việc chuyển đổi đồng tiền báo cáo,Ảnh hưởng của việc chuyển đổi đồng tiền báo cáo,-,-,3.902.761.820,-,-,-,3.902.761.820,,,3902761820.0,,,,3902761820.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,4.527.974.132,-,4.527.974.132,,,,,4527974132.0,,4527974132.0
Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,58.147.857.000.000,3.211.560.416.270,-,818.200.313.964,40.593.031.662.654,65.769.846.491,102.836.419.239.379,58147857000000.0,3211560416270.0,,818200313964.0,40593031662654.0,65769846491.0,102836419239379.0
