row_label_raw,row_label_full,col_0,Công ty TNHH Thương mại Dịch vụ Nhơn Trạch VND,Công ty CP Xây dựng Long Việt VND,Công ty TNHH Đầu tư phát triển Thành phố mới VND,Tổng cộng VND,numeric__Công ty TNHH Thương mại Dịch vụ Nhơn Trạch VND,numeric__Công ty CP Xây dựng Long Việt VND,numeric__Công ty TNHH Đầu tư phát triển Thành phố mới VND,numeric__Tổng cộng VND
Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,,,,
Số dư đầu năm,Giá gốc > Số dư đầu năm,Số dư đầu năm,195.950.665,59.880.000.000,63.565.805.699,123.641.756.364,195950665.0,59880000000.0,63565805699.0,123641756364.0
Biến động khác,Giá gốc > Biến động khác,Biến động khác,-,-,(2.446.392.687),(2.446.392.687),,,-2446392687.0,-2446392687.0
Số dư cuối năm,Giá gốc > Số dư cuối năm,Số dư cuối năm,195.950.665,59.880.000.000,61.119.413.012,121.195.363.677,195950665.0,59880000000.0,61119413012.0,121195363677.0
Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,,,,
Số dư đầu năm,Phân bổ lũy kế > Số dư đầu năm,Số dư đầu năm,-,28.942.000.000,6.690.796.368,35.632.796.368,,28942000000.0,6690796368.0,35632796368.0
Biến động trong năm,Phân bổ lũy kế > Biến động trong năm,Biến động trong năm,-,5.988.000.000,3.665.548.617,9.653.548.617,,5988000000.0,3665548617.0,9653548617.0
Số dư cuối năm,Phân bổ lũy kế > Số dư cuối năm,Số dư cuối năm,-,34.930.000.000,10.356.344.985,45.286.344.985,,34930000000.0,10356344985.0,45286344985.0
Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,,,,
Số dư đầu năm,Giá trị ghi sổ > Số dư đầu năm,Số dư đầu năm,195.950.665,30.938.000.000,56.875.009.331,88.008.959.996,195950665.0,30938000000.0,56875009331.0,88008959996.0
Số dư cuối năm,Giá trị ghi sổ > Số dư cuối năm,Số dư cuối năm,195.950.665,24.950.000.000,50.763.068.027,75.909.018.692,195950665.0,24950000000.0,50763068027.0,75909018692.0
