row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Chênh lệch tỷ giá VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Chênh lệch tỷ giá VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2022,Số dư tại ngày 1/1/2022,Số dư tại ngày 1/1/2022,44.729.227.060.000,3.211.560.416.270,(1.925.960.852),923.549.304.122,41.763.425.970.912,154.788.720.987,90.780.625.511.439,44729227060000.0,3211560416270.0,-1925960852.0,923549304122.0,41763425970912.0,154788720987.0,90780625511439.0
Góp vốn,Góp vốn,Góp vốn,-,-,-,-,-,4.075.000.000,4.075.000.000,,,,,,4075000000.0,4075000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,8.483.510.554.031,(39.081.499.515),8.444.429.054.516,,,,,8483510554031.0,-39081499515.0,8444429054516.0
Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,13.418.629.940.000,-,-,-,(13.418.629.940.000),-,-,13418629940000.0,,,,-13418629940000.0,,
Trả cổ tức bằng tiền,Trả cổ tức bằng tiền,Trả cổ tức bằng tiền,-,-,-,-,(2.236.461.353.000),-,(2.236.461.353.000),,,,,-2236461353000.0,,-2236461353000.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,(761.164.438.000),-,(761.164.438.000),,,,,-761164438000.0,,-761164438000.0
Công ty con trả cổ tức cho cổ đông không kiểm soát,Công ty con trả cổ tức cho cổ đông không kiểm soát,Công ty con trả cổ tức cho cổ đông không kiểm soát,-,-,-,-,-,(14.253.842.170),(14.253.842.170),,,,,,-14253842170.0,-14253842170.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,(88.766.869.906),-,-,(88.766.869.906),,,,-88766869906.0,,,-88766869906.0
Ảnh hưởng của việc chuyển đổi đồng tiền báo cáo,Ảnh hưởng của việc chuyển đổi đồng tiền báo cáo,Ảnh hưởng của việc chuyển đổi đồng tiền báo cáo,-,-,(18.726.394.153),-,-,-,(18.726.394.153),,,-18726394153.0,,,,-18726394153.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,3.149.180.044,33.767.013,3.182.947.057,,,,,3149180044.0,33767013.0,3182947057.0
Số dư tại ngày 31/12/2022,Số dư tại ngày 31/12/2022,Số dư tại ngày 31/12/2022,58.147.857.000.000,3.211.560.416.270,(20.652.355.005),834.782.434.216,33.833.829.973.987,105.562.146.315,96.112.939.615.783,58147857000000.0,3211560416270.0,-20652355005.0,834782434216.0,33833829973987.0,105562146315.0,96112939615783.0
