row_label_raw,row_label_full,17.,Chi phí trả trước,Chi phí trả trước_1,Chi phí trả trước_2,Chi phí trả trước_3,Chi phí trả trước_4,Chi phí trả trước_5,Chi phí trả trước_6,numeric__Chi phí trả trước,numeric__Chi phí trả trước_1,numeric__Chi phí trả trước_2,numeric__Chi phí trả trước_3,numeric__Chi phí trả trước_4,numeric__Chi phí trả trước_5,numeric__Chi phí trả trước_6
17.1,17.1,17.1,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,,,,,,,
17.1,17.1,17.1,,31/12/2023VND,1/1/2023VND,,,,,,,,,,,
17.1,17.1 > 17.1,17.1,Công cụ và dụng cụ,48.252.755.440,59.481.774.221,,,,,,48252755440.0,59481774221.0,,,,
17.1,17.1 > 17.1,17.1,"Chi phí bảo dưỡng, sửa chữa tài sản",147.353.760.046,91.168.730.259,,,,,,147353760046.0,91168730259.0,,,,
17.1,17.1 > 17.1,17.1,Chi phí khác,135.228.462.711,169.426.966.077,,,,,,135228462711.0,169426966077.0,,,,
17.1,17.1 > 17.1,17.1,,330.834.978.197,320.077.470.557,,,,,,330834978197.0,320077470557.0,,,,
17.2,17.2,17.2,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,,,,,,,
17.2,17.2,17.2,,Công cụ và dụng cụVND,"Chi phí đại tu, sửa chữa lớnVND",Chi phí đất trả trướcVND,Chi phí giải phóng mặt bằngVND,Chi phí trước hoạt độngVND,Chi phí trả trước khácVND,,,,,,,
17.2,17.2 > 17.2,17.2,Số dư đầu năm,185.721.208.075,533.704.643.089,2.731.040.390.126,308.494.111.416,19.824.669.739,150.458.933.958,,185721208075.0,533704643089.0,2731040390126.0,308494111416.0,19824669739.0,150458933958.0
17.2,17.2 > 17.2,17.2,Tăng trong năm,92.854.936.133,96.181.328.207,276.773.390.879,-,-,58.755.581.776,,92854936133.0,96181328207.0,276773390879.0,,,58755581776.0
17.2,17.2 > 17.2,17.2,Chuyển từ xây dựng cơ bản dở dang,36.666.777.924,244.400.069.861,8.758.362.017,-,-,23.077.315.025,,36666777924.0,244400069861.0,8758362017.0,,,23077315025.0
17.2,17.2 > 17.2,17.2,Phân bổ trong năm,(145.532.574.845),(243.953.070.959),(47.062.041.056),(12.801.862.349),(19.824.669.739),(72.385.502.365),,-145532574845.0,-243953070959.0,-47062041056.0,-12801862349.0,-19824669739.0,-72385502365.0
17.2,17.2 > 17.2,17.2,Thanh lý công ty con,-,-,-,-,-,(16.197.358.380),,,,,,,-16197358380.0
17.2,17.2 > 17.2,17.2,Biến động khác,6.633.418.041,(4.651.277.566),8.532.077.303,-,-,(4.460.883.631),,6633418041.0,-4651277566.0,8532077303.0,,,-4460883631.0
17.2,17.2 > 17.2,17.2,Số dư cuối năm,176.343.765.328,625.681.692.632,2.978.042.179.269,295.692.249.067,-,139.248.086.383,,176343765328.0,625681692632.0,2978042179269.0,295692249067.0,,139248086383.0
