row_label_raw,row_label_full,STT,Công ty con,Hoạt động chính,Tỷ lệ lợi ích và quyền biểu quyết của Tập đoàn,Tỷ lệ lợi ích và quyền biểu quyết của Tập đoàn_1,numeric__Công ty con,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích và quyền biểu quyết của Tập đoàn,numeric__Tỷ lệ lợi ích và quyền biểu quyết của Tập đoàn_1
STT,STT,STT,Công ty con,Hoạt động chính,31/12/2023,1/1/2023,,,,
1,STT > 1,1,Công ty CP Gang thép Hòa Phát (i),"Đầu tư, sản xuất, kinh doanh thép xây dựng và các hoạt động phụ trợ.","99,999%","99,998%",,,0.9999899999999999,0.9999800000000001
2,STT > 2,2,Công ty CP Sản phẩm thép Hòa Phát,"Đầu tư, sản xuất, kinh doanh ống thép, tôn mạ màu và các hoạt động phụ trợ.","99,994%","99,994%",,,0.99994,0.99994
3,STT > 3,3,Công ty CP Phát triển Nông nghiệp Hòa Phát,"Chăn nuôi gia súc, gia cầm; trồng trọt; các hoạt động dịch vụ trồng trọt, chăn nuôi, sau thu hoạch; sản xuất thức ăn gia súc, gia cầm và thủy sản.","99,999%","99,999%",,,0.9999899999999999,0.9999899999999999
4,STT > 4,4,Công ty CP Phát triển Bất động sản Hòa Phát,"Đầu tư, xây dựng, kinh doanh bất động sản và các hoạt động phụ trợ.","99,967%","99,967%",,,0.99967,0.99967
5,STT > 5,5,Công ty CP Điện máy Gia dụng Hòa Phát,"Đầu tư, sản xuất, kinh doanh các sản phẩm điện máy – gia dụng.","99,900%","99,900%",,,0.9990000000000001,0.9990000000000001
6,STT > 6,6,Công ty CP Đầu tư Khoáng sản An Thông,"Thăm dò, khai thác, tuyển luyện, chế biến, xuất nhập khẩu khoáng sản nói chung trong đó chủ yếu là quặng sắt.","99,958%","99,958%",,,0.99958,0.99958
7,STT > 7,7,Công ty CP Thép Hòa Phát Hải Dương,"Sản xuất thép, gang, khai thác quặng sắt, khai thác và thu gom than non; bán buôn kim loại và quặng kim loại; và sản xuất, mua bán than cốc.","99,997%","99,997%",,,0.99997,0.99997
8,STT > 8,8,Công ty CP Thép Hòa Phát Dung Quát (i),"Sản xuất sắt, thép, gang, khai thác quặng sắt; bán buôn kim loại và quặng kim loại; sản xuất mua bán than cốc và các ngành nghề liên quan khác.","99,999%","99,998%",,,0.9999899999999999,0.9999800000000001
9,STT > 9,9,Công ty TNHH Thép Hòa Phát Hưng Yên,"Sản xuất sắt, thép, gang; bán buôn kim loại và quặng kim loại.","99,999%","99,998%",,,0.9999899999999999,0.9999800000000001
10,STT > 10,10,Công ty CP Vận tải biển Hòa Phát,"Vận tải hàng hóa ven biển, đường thủy nội địa và viễn dương.","99,519%","99,518%",,,0.99519,0.99518
11,STT > 11,11,Công ty CP Đầu tư nước ngoài Hòa Phát (trước đây là Công ty CP Khoáng sản Bắc Úc) (iv),"Khai thác quặng sắt, khai thác kim loại khác không chứa sắt, sản xuất kim loại màu và kim loại quý.",-,"99,971%",,,,0.99971
12,STT > 12,12,Công ty TNHH Ống thép Hòa Phát,Sản xuất và kinh doanh thương mại ống thép.,"99,969%","99,969%",,,0.99969,0.99969
13,STT > 13,13,Công ty TNHH Tôn Hòa Phát,"Sản xuất và kinh doanh các loại tôn mạ kẽm, tôn mạ màu và tôn mạ lạnh.","99,994%","99,994%",,,0.99994,0.99994
14,STT > 14,14,Công ty TNHH Điện lạnh Hòa Phát,Sản xuất và kinh doanh thương mại sản phẩm điện lạnh.,"99,734%","99,734%",,,0.9973399999999999,0.9973399999999999
15,STT > 15,15,Công ty TNHH Chế tạo Kim loại Hòa Phát,Sản xuất thiết bị xây dựng; kinh doanh thương mại máy móc và thiết bị xây dựng và khai thác khoáng sản loại nhỏ và vừa.,"99,910%","99,910%",,,0.9991,0.9991
16,STT > 16,16,Công ty CP Sản xuất Container Hòa Phát,Sản xuất và kinh doanh Container.,"99,794%","99,794%",,,0.9979399999999999,0.9979399999999999
