row_label_raw,row_label_full,Tai ngày 1 tháng 1 năm2016 (Trình bày lại –Thuyết minh 44) > Lợi nhuận trong năm(Trình bày lại –Thuyết minh 44),Vốn góp của chủ sở hữu VND > 6.412.811.860.000,Vốn khác của chủ sở hữu VND > 3.208.666.226,Cổ phiếu quỹ VND > (25.550.000.000),Chêch lệch tỷ giá hối doài VND > 14.239.683.180,Quỹ đầu tư phát triển VND > 1.100.003.125.251,Quỹ khác thuộc vốn chủ sở hữu VND > 6.108.534.627,Lợi nhuận sau thuế chưa phân phối VND(Trình bày lại – Thuyết minh 44) > 3.583.247.906.218 > 4.338.773.356.882(19.278.639.620),Lợi ích của Tổng Công ty VND > 11.094.069.775.502 > 4.338.773.356.882,Lợi ích cổ đông không kiểm soát VND > 995.617.570.458,Tổng cộng VND > 12.089.687.345.960 > 4.517.343.440.640,numeric__Vốn góp của chủ sở hữu VND > 6.412.811.860.000,numeric__Vốn khác của chủ sở hữu VND > 3.208.666.226,numeric__Cổ phiếu quỹ VND > (25.550.000.000),numeric__Chêch lệch tỷ giá hối doài VND > 14.239.683.180,numeric__Quỹ đầu tư phát triển VND > 1.100.003.125.251,numeric__Quỹ khác thuộc vốn chủ sở hữu VND > 6.108.534.627,numeric__Lợi nhuận sau thuế chưa phân phối VND(Trình bày lại – Thuyết minh 44) > 3.583.247.906.218 > 4.338.773.356.882(19.278.639.620),numeric__Lợi ích của Tổng Công ty VND > 11.094.069.775.502 > 4.338.773.356.882,numeric__Lợi ích cổ đông không kiểm soát VND > 995.617.570.458,numeric__Tổng cộng VND > 12.089.687.345.960 > 4.517.343.440.640
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,,,,,18.278.639.620,1.000.000.000,,,,,,,,,18278639620.0,1000000000.0,,,,
Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,,,2.100.000.000,,,,,2.100.000.000,,2.100.000.000,,,2100000000.0,,,,,2100000000.0,,2100000000.0
Chêch lệch tỷ giá,Chêch lệch tỷ giá,Chêch lệch tỷ giá,,,,2.766.916.899,,,,2.766.916.899,,2.766.916.899,,,,2766916899.0,,,,2766916899.0,,2766916899.0
Chia có tức(Thuyết minh 27),Chia có tức(Thuyết minh 27),Chia có tức(Thuyết minh 27),,,,,,,(3.846.349.230.840),(3.846.349.230.840),(97.479.390.440),(3.943.828.621.280),,,,,,,-3846349230840.0,-3846349230840.0,-97479390440.0,-3943828621280.0
Trích lập quỹ khen thưởng phúc lợi(Thuyết minh 23),Trích lập quỹ khen thưởng phúc lợi(Thuyết minh 23),Trích lập quỹ khen thưởng phúc lợi(Thuyết minh 23),,,,,,,(297.100.139.757),(297.100.139.757),(26.101.082.842),(323.201.222.599),,,,,,,-297100139757.0,-297100139757.0,-26101082842.0,-323201222599.0
Điều chính quỹ khen thưởng phúc lợi(Thuyết minh 23),Điều chính quỹ khen thưởng phúc lợi(Thuyết minh 23),Điều chính quỹ khen thưởng phúc lợi(Thuyết minh 23),,,,,,,(10.616.440.498),(10.616.440.498),(1.823.103.334),(12.439.543.832),,,,,,,-10616440498.0,-10616440498.0,-1823103334.0,-12439543832.0
Trích lập quỹ công tác xã hội,Trích lập quỹ công tác xã hội,Trích lập quỹ công tác xã hội,,,,,,,(31.736.999.999),(31.736.999.999),(30.774.072),(31.767.774.071),,,,,,,-31736999999.0,-31736999999.0,-30774072.0,-31767774071.0
Điều chỉnh quỹ công tác xã hội,Điều chỉnh quỹ công tác xã hội,Điều chỉnh quỹ công tác xã hội,,,,,,,(2.262.000.000),(2.262.000.000),,(2.262.000.000),,,,,,,-2262000000.0,-2262000000.0,,-2262000000.0
Giảm khác,Giảm khác,Giảm khác,,,,,,(1.067.797.588),(1.035.282.458),(2.103.080.046),,(2.103.080.046),,,,,,-1067797588.0,-1035282458.0,-2103080046.0,,-2103080046.0
Thay đổi tỷ lệ sở hữu của cổ đông thiểu số,Thay đổi tỷ lệ sở hữu của cổ đông thiểu số,Thay đổi tỷ lệ sở hữu của cổ đông thiểu số,,,,,116.530.439,,84.211.209,200.741.648,(598.831.647),(398.089.999),,,,,116530439.0,,84211209.0,200741648.0,-598831647.0,-398089999.0
