row_label_raw,row_label_full,col_0,2017VND,2016VND(Trinh bày lại – Thuyết minh 44),numeric__2017VND,numeric__2016VND(Trinh bày lại – Thuyết minh 44)
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,6.077.091.655.134,5.727.343.407.406,6077091655134.0,5727343407406.0
Thuế tính ở thuế suất 20%,Thuế tính ở thuế suất 20%,Thuế tính ở thuế suất 20%,1.215.418.331.027,1.145.468.681.481,1215418331027.0,1145468681481.0
Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,,,,
Chênh lệch thuế suất giữa các công ty trong Tập đoàn,Điều chỉnh: > Chênh lệch thuế suất giữa các công ty trong Tập đoàn,Chênh lệch thuế suất giữa các công ty trong Tập đoàn,(16.414.547.642),5.916.222.092,-16414547642.0,5916222092.0
Thu nhập không chịu thuế,Điều chỉnh: > Thu nhập không chịu thuế,Thu nhập không chịu thuế,(73.470.690.139),(81.739.526.356),-73470690139.0,-81739526356.0
Chi phí không được khấu trừ,Điều chỉnh: > Chi phí không được khấu trừ,Chi phí không được khấu trừ,13.704.739.068,161.864.905.762,13704739068.0,161864905762.0
U'u đãi thuế,Điều chỉnh: > U'u đãi thuế,U'u đãi thuế,(14.137.538.269),(23.543.784.256),-14137538269.0,-23543784256.0
Lỗ năm trước chuyển sang,Điều chỉnh: > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,-,(481.010.731),,-481010731.0
Dự phòng thiếu của năm trước,Điều chỉnh: > Dự phòng thiếu của năm trước,Dự phòng thiếu của năm trước,2.925.904.804,960.284.243,2925904804.0,960284243.0
Khác,Điều chỉnh: > Khác,Khác,466.204.414,1.554.194.531,466204414.0,1554194531.0
Chi phí thuế TNDN (*),Điều chỉnh: > Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),1.128.492.403.270,1.209.999.966.766,1128492403270.0,1209999966766.0
Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất :,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất :,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất :,,,,
Thuế TNDN - hiện hành,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất : > Thuế TNDN - hiện hành,Thuế TNDN - hiện hành,1.140.540.458.945,411.415.406.799,1140540458945.0,411415406799.0
Thuế TNDN - hoãn lại (Thuyết minh 16),Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất : > Thuế TNDN - hoãn lại (Thuyết minh 16),Thuế TNDN - hoãn lại (Thuyết minh 16),(12.048.055.675),798.584.559.967,-12048055675.0,798584559967.0
,,,1.128.492.403.270,1.209.999.966.766,1128492403270.0,1209999966766.0
