row_label_raw,row_label_full,Tên,Địa điểm(Tình/Thành phố),"Hoạt động sản xuất, kinh doanh chính",2017,2017_1,2016,2016_1,numeric__Địa điểm(Tình/Thành phố),"numeric__Hoạt động sản xuất, kinh doanh chính",numeric__2017,numeric__2017_1,numeric__2016,numeric__2016_1
Tên,Tên,Tên,Địa điểm(Tình/Thành phố),"Hoạt động sản xuất, kinh doanh chính",Quyền sở hữu(%),Quyền biểu quyết(%),Quyền sở hữu(%),Quyền biểu quyết(%),,,,,,
I - Công ty con,I - Công ty con,I - Công ty con,I - Công ty con,I - Công ty con,I - Công ty con,I - Công ty con,I - Công ty con,I - Công ty con,,,,,,
Công ty Cổ phần Bia Sài Gòn - Miền Tây,I - Công ty con > Công ty Cổ phần Bia Sài Gòn - Miền Tây,Công ty Cổ phần Bia Sài Gòn - Miền Tây,Cần Thơ,Sản xuất và kinh doanh bia,51,51,51,51,,,51.0,51.0,51.0,51.0
Công ty Cổ phần Nước Giải khát Chương Dương,I - Công ty con > Công ty Cổ phần Nước Giải khát Chương Dương,Công ty Cổ phần Nước Giải khát Chương Dương,Hồ Chí Minh,"Sản xuất, kinh doanh nước giải khát","62,06","62,06","62,06","62,06",,,62.06,62.06,62.06,62.06
Công ty Cổ phần Bia Sài Gòn – Quảng Ngãi,I - Công ty con > Công ty Cổ phần Bia Sài Gòn – Quảng Ngãi,Công ty Cổ phần Bia Sài Gòn – Quảng Ngãi,Quảng Ngãi,Sản xuất và kinh doanh bia,"66,56","66,56","66,56","66,56",,,66.56,66.56,66.56,66.56
Công ty Cổ phần Rượu Bình Tây,I - Công ty con > Công ty Cổ phần Rượu Bình Tây,Công ty Cổ phần Rượu Bình Tây,Hồ Chí Minh,"Sản xuất, kinh doanh rượu","93,29","93,46","93,29","93,46",,,93.29,93.46,93.29,93.46
Công ty Cổ phần Bia Rượu Sài Gòn - Đồng Xuân,I - Công ty con > Công ty Cổ phần Bia Rượu Sài Gòn - Đồng Xuân,Công ty Cổ phần Bia Rượu Sài Gòn - Đồng Xuân,Phú Thọ,Sản xuất bia và nước giải khát có ga,"55,83","56,24","55,83","56,24",,,55.83,56.24,55.83,56.24
Công ty Cổ phần Bia Sài Gòn - Nghệ Tĩnh,I - Công ty con > Công ty Cổ phần Bia Sài Gòn - Nghệ Tĩnh,Công ty Cổ phần Bia Sài Gòn - Nghệ Tĩnh,Nghệ An,"Sản xuất và mua bán các sản phẩm bia, cồn, rượu và nước giải khát","54,73","54,73","54,73","54,73",,,54.73,54.73,54.73,54.73
Công ty Cổ phần Bia Sài Gòn - Sông Lam,I - Công ty con > Công ty Cổ phần Bia Sài Gòn - Sông Lam,Công ty Cổ phần Bia Sài Gòn - Sông Lam,Nghệ An,"Sản xuất và kinh doanh bia và nước giải khát, xuất nhập khẩu các nguyên vật liệu liên quan","68,78","68,78","68,78","68,78",,,68.78,68.78,68.78,68.78
Công ty Cổ phần Bia Sài Gòn - Hà Nội,I - Công ty con > Công ty Cổ phần Bia Sài Gòn - Hà Nội,Công ty Cổ phần Bia Sài Gòn - Hà Nội,Hà Nội,"Sản xuất và kinh doanh bia và nước giải khát, xuất nhập khẩu các nguyên vật liệu liên quan","52,11","52,11","52,11","52,11",,,52.11,52.11,52.11,52.11
Công ty TNHH Một Thành viên Thương mại Bia Sài Gòn,I - Công ty con > Công ty TNHH Một Thành viên Thương mại Bia Sài Gòn,Công ty TNHH Một Thành viên Thương mại Bia Sài Gòn,Hồ Chí Minh,Kinh doanh bia,100,100,100,100,,,100.0,100.0,100.0,100.0
Công ty Cổ phần Thương mại Bia Sài Gòn - Miền Bắc,I - Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn - Miền Bắc,Công ty Cổ phần Thương mại Bia Sài Gòn - Miền Bắc,Hà Nội,"Mua bán rượu, bia, nước giải khát; vận chuyển hàng hóa và cho thuê kho bãi","94,72","94,72","94,72","94,72",,,94.72,94.72,94.72,94.72
Công ty Cổ phần Thương mại Bia Sài Gòn - Bắc Trung Bộ,I - Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn - Bắc Trung Bộ,Công ty Cổ phần Thương mại Bia Sài Gòn - Bắc Trung Bộ,Nghệ An,"Mua bán rượu, bia, nước giải khát; kinh doanh kho bãi và vận tải hàng hóa","94,92","94,92","94,92","94,92",,,94.92,94.92,94.92,94.92
Công ty Cổ phần Thương mại Bia Sài Gòn - Trung Tâm,I - Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn - Trung Tâm,Công ty Cổ phần Thương mại Bia Sài Gòn - Trung Tâm,Hồ Chí Minh,"Bán buôn bia, đồ uống có cồn; bán buôn đồ uống không có cồn; bán buôn hóa chất khác","94,23","94,23",94,94,,,94.23,94.23,94.0,94.0
Công ty Cổ phần Thương mại Bia Sài Gòn - Miền Trung,I - Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn - Miền Trung,Công ty Cổ phần Thương mại Bia Sài Gòn - Miền Trung,Quảng Ngãi,"Mua bán rượu, bia, nước giải khát","91,24","91,24","91,24","91,24",,,91.24,91.24,91.24,91.24
