row_label_raw,row_label_full,col_0,Thành phẩm VND,Nguyên vật liệu và hàng hóa VND,Khác VND,Tổng cộng VND,numeric__Thành phẩm VND,numeric__Nguyên vật liệu và hàng hóa VND,numeric__Khác VND,numeric__Tổng cộng VND
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,30.043.508.607.902(21.525.948.677.040),4.058.768.492.587(3.801.459.739.918),91.113.453.750(464.072.704),34.193.390.554.239(25.327.872.489.662),,,,
Doanh thu thuần,Doanh thu thuần > Doanh thu thuần,Doanh thu thuần,8.517.559.930.862,257.308.752.669,90.649.381.046,8.865.518.064.577,8517559930862.0,257308752669.0,90649381046.0,8865518064577.0
Doanh thu thuần,Doanh thu thuần > Doanh thu thuần,Doanh thu thuần,2016,2016,2016,2016,2016.0,2016.0,2016.0,2016.0
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Thành phẩm VND,Nguyên vật liệu và hàng hóa VND,Khác VND,Tổng cộng VND,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,26.717.673.536.058(18.829.680.107.829),3.635.340.700.918(3.467.732.511.424),113.679.499.867(2.241.990.402),30.466.693.736.843(22.299.654.609.655),,,,
Giá vốn,Doanh thu thuần > Giá vốn,Giá vốn,7.887.993.428.229,167.608.189.494,111.437.509.465,8.167.039.127.188,7887993428229.0,167608189494.0,111437509465.0,8167039127188.0
