row_label_raw,row_label_full,Tên,Địa điểm(Tỉnh/Thành phố),"Hoạt động sản xuất, kinh doanh chính",2017,2017_1,2016,2016_1,numeric__Địa điểm(Tỉnh/Thành phố),"numeric__Hoạt động sản xuất, kinh doanh chính",numeric__2017,numeric__2017_1,numeric__2016,numeric__2016_1
Tên,Tên,Tên,Địa điểm(Tỉnh/Thành phố),"Hoạt động sản xuất, kinh doanh chính",Quyền sở hữu(%),Quyền biểu quyết(%),Quyền sở hữu(%),Quyền biểu quyết(%),,,,,,
I - Công ty con (tiếp theo),I - Công ty con (tiếp theo),I - Công ty con (tiếp theo),I - Công ty con (tiếp theo),I - Công ty con (tiếp theo),I - Công ty con (tiếp theo),I - Công ty con (tiếp theo),I - Công ty con (tiếp theo),I - Công ty con (tiếp theo),,,,,,
Công ty Cổ phần Thương mại Bia Sài Gòn - Tây Nguyên,I - Công ty con (tiếp theo) > Công ty Cổ phần Thương mại Bia Sài Gòn - Tây Nguyên,Công ty Cổ phần Thương mại Bia Sài Gòn - Tây Nguyên,Đắk Lắk,"Mua bán rượu, bia, nước giải khát",90,90,90,90,,,90.0,90.0,90.0,90.0
Công ty Cổ phần Thương mại Bia Sài Gòn - Nam Trung Bộ,I - Công ty con (tiếp theo) > Công ty Cổ phần Thương mại Bia Sài Gòn - Nam Trung Bộ,Công ty Cổ phần Thương mại Bia Sài Gòn - Nam Trung Bộ,Khánh Hòa,"Mua bán rượu, bia, nước giải khát","90,14","90,14","90,14","90,14",,,90.14,90.14,90.14,90.14
Công ty Cổ phần Thương mại Bia Sài Gòn - Miền Đông,I - Công ty con (tiếp theo) > Công ty Cổ phần Thương mại Bia Sài Gòn - Miền Đông,Công ty Cổ phần Thương mại Bia Sài Gòn - Miền Đông,Bình Dương,"Mua bán rượu, bia, nước giải khát","90,68","90,68","90,68","90,68",,,90.68,90.68,90.68,90.68
Công ty Cổ phần Thương mại Bia Sài Gòn - Sông Tiền,I - Công ty con (tiếp theo) > Công ty Cổ phần Thương mại Bia Sài Gòn - Sông Tiền,Công ty Cổ phần Thương mại Bia Sài Gòn - Sông Tiền,Vĩnh Long,"Mua bán rượu, bia, nước giải khát",90,90,90,90,,,90.0,90.0,90.0,90.0
Công ty Cổ phần Thương mại Bia Sài Gòn - Sông Hậu,I - Công ty con (tiếp theo) > Công ty Cổ phần Thương mại Bia Sài Gòn - Sông Hậu,Công ty Cổ phần Thương mại Bia Sài Gòn - Sông Hậu,Cần Thơ,"Mua bán rượu, bia, nước giải khát",90,90,90,90,,,90.0,90.0,90.0,90.0
Công ty TNHH Một Thành viên Cơ khí Sabeco,I - Công ty con (tiếp theo) > Công ty TNHH Một Thành viên Cơ khí Sabeco,Công ty TNHH Một Thành viên Cơ khí Sabeco,Hồ Chí Minh,"Chế tạo máy móc dùng cho sản xuất thực phẩm, lắp đặt và bảo trì hệ thống máy móc thiết bị",100,100,100,100,,,100.0,100.0,100.0,100.0
Công ty TNHH Một Thành viên Bia Sài Gòn - Sóc Trăng,I - Công ty con (tiếp theo) > Công ty TNHH Một Thành viên Bia Sài Gòn - Sóc Trăng,Công ty TNHH Một Thành viên Bia Sài Gòn - Sóc Trăng,Sóc Trăng,"Sản xuất và kinh doanh bia, mạch nha ủ lên men, nước khoáng, nước tinh khiết đóng chai,",51,100,51,100,,,51.0,100.0,51.0,100.0
Công ty Cổ phần Thương mại Bia Sài Gòn - Đông Bắc,I - Công ty con (tiếp theo) > Công ty Cổ phần Thương mại Bia Sài Gòn - Đông Bắc,Công ty Cổ phần Thương mại Bia Sài Gòn - Đông Bắc,Hồ Chí Minh,"Mua bán rượu, bia, nước giải khát","90,45","90,45","90,45","90,45",,,90.45,90.45,90.45,90.45
Công ty TNHH Một Thành viên Bia Sài Gòn - Hà Tĩnh,I - Công ty con (tiếp theo) > Công ty TNHH Một Thành viên Bia Sài Gòn - Hà Tĩnh,Công ty TNHH Một Thành viên Bia Sài Gòn - Hà Tĩnh,Hà Tĩnh,"Sản xuất và kinh doanh bia, mạch nha ủ lên men, nước khoáng, nước tinh khiết đóng chai,",100,100,100,100,,,100.0,100.0,100.0,100.0
Công ty Cổ phần Bao bì Bia Sài Gòn,I - Công ty con (tiếp theo) > Công ty Cổ phần Bao bì Bia Sài Gòn,Công ty Cổ phần Bao bì Bia Sài Gòn,Hồ Chí Minh,"Sản xuất và mua bán nắp khoản thiếc và bao bì kim loại, bao bì phục vụ ngành đồ uống thực phẩm,","76,81","76,81","76,81","76,81",,,76.81,76.81,76.81,76.81
