row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Dụng cụquản lýVND,TSCĐ hữuhình khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Dụng cụquản lýVND,numeric__TSCĐ hữuhình khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2016,Nguyên giá > Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,1.805.273.608.252,7.042.719.819.625,218.141.785.567,112.084.958.203,8.383.848.313,9.186.604.019.960,1805273608252.0,7042719819625.0,218141785567.0,112084958203.0,8383848313.0,9186604019960.0
Mua mới,Nguyên giá > Mua mới,Mua mới,4.548.097.756,71.996.396.522,24.193.591.275,11.288.893.960,630.149.780,112.657.129.293,4548097756.0,71996396522.0,24193591275.0,11288893960.0,630149780.0,112657129293.0
Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 15),Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 15),Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 15),39.236.356.628,29.688.194.669,-,346.958.252,-,69.271.509.549,39236356628.0,29688194669.0,,346958252.0,,69271509549.0
Tăng/(giảm) khác,Nguyên giá > Tăng/(giảm) khác,Tăng/(giảm) khác,16.336.934,89.105.947,-,(25.052.500),(97.952.381),(17.562.000),16336934.0,89105947.0,,-25052500.0,-97952381.0,-17562000.0
Chuyển sang bắt động sản đầu tư(Thuyết minh 14(a)),Nguyên giá > Chuyển sang bắt động sản đầu tư(Thuyết minh 14(a)),Chuyển sang bắt động sản đầu tư(Thuyết minh 14(a)),(12.350.992.823),-,-,-,-,(12.350.992.823),-12350992823.0,,,,,-12350992823.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(161.033.340),(7.155.864.251),(4.963.440.383),(47.405.682),-,(12.327.743.656),-161033340.0,-7155864251.0,-4963440383.0,-47405682.0,,-12327743656.0
Tại ngày 31 tháng 12 năm 2016,Nguyên giá > Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,1.836.562.373.407,7.137.337.652.512,237.371.936.459,123.648.352.233,8.916.045.712,9.343.836.360.323,1836562373407.0,7137337652512.0,237371936459.0,123648352233.0,8916045712.0,9343836360323.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2017,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,676.443.366.523,3.796.470.456.027,145.505.621.104,76.668.570.581,2.661.756.282,4.697.749.770.517,676443366523.0,3796470456027.0,145505621104.0,76668570581.0,2661756282.0,4697749770517.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,100.623.794.384,476.692.381.630,19.442.490.166,13.211.346.910,1.043.005.394,611.013.018.484,100623794384.0,476692381630.0,19442490166.0,13211346910.0,1043005394.0,611013018484.0
Tăng khác,Khấu hao lũy kế > Tăng khác,Tăng khác,2.254.305.663,-,-,-,-,2.254.305.663,2254305663.0,,,,,2254305663.0
Chuyển sang bắt động sản đầu tư(Thuyết minh 14(a)),Khấu hao lũy kế > Chuyển sang bắt động sản đầu tư(Thuyết minh 14(a)),Chuyển sang bắt động sản đầu tư(Thuyết minh 14(a)),(358.208.399),-,-,-,-,(358.208.399),-358208399.0,,,,,-358208399.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(161.033.340),(6.398.008.737),(4.963.440.383),(47.405.682),-,(11.569.888.142),-161033340.0,-6398008737.0,-4963440383.0,-47405682.0,,-11569888142.0
Tại ngày 31 tháng 12 năm 2017,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,778.802.224.831,4.266.764.828.920,159.984.670.887,89.832.511.809,3.704.761.676,5.299.088.998.123,778802224831.0,4266764828920.0,159984670887.0,89832511809.0,3704761676.0,5299088998123.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2017,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,1.128.830.241.729,3.246.249.363.598,72.636.164.463,35.416.387.622,5.722.092.031,4.488.854.249.443,1128830241729.0,3246249363598.0,72636164463.0,35416387622.0,5722092031.0,4488854249443.0
Tại ngày 31 tháng 12 năm 2017,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,1.057.760.148.576,2.870.572.823.592,77.387.265.572,33.815.840.424,5.211.284.036,4.044.747.362.200,1057760148576.0,2870572823592.0,77387265572.0,33815840424.0,5211284036.0,4044747362200.0
