row_label_raw,row_label_full,col_0,2017VND,2016VND(Trình bày lại – Thuyết minh 44),numeric__2017VND,numeric__2016VND(Trình bày lại – Thuyết minh 44)
Doanh thu bia,Doanh thu bia,Doanh thu bia,29.838.464.041.901,26.333.316.845.272,29838464041901.0,26333316845272.0
"Doanh thu bao bì, vật tư","Doanh thu bao bì, vật tư","Doanh thu bao bì, vật tư",4.058.768.492.587,3.635.340.700.918,4058768492587.0,3635340700918.0
Doanh thu nước giải khát,Doanh thu nước giải khát,Doanh thu nước giải khát,356.907.769.842,450.140.918.836,356907769842.0,450140918836.0
"Doanh thu còn, rượu","Doanh thu còn, rượu","Doanh thu còn, rượu",88.467.592.781,69.968.351.663,88467592781.0,69968351663.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,95.563.151.481,113.679.499.867,95563151481.0,113679499867.0
,,,34.438.171.048.592,30.602.446.316.556,34438171048592.0,30602446316556.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,,
Chiết khấu thương mại,Các khoản giảm trừ > Chiết khấu thương mại,Chiết khấu thương mại,(244.231.824.563),(134.615.130.113),-244231824563.0,-134615130113.0
Hàng bán bị trả lại,Các khoản giảm trừ > Hàng bán bị trả lại,Hàng bán bị trả lại,(548.669.790),(1.137.449.600),-548669790.0,-1137449600.0
,,,(244.780.494.353),(135.752.579.713),-244780494353.0,-135752579713.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Các khoản giảm trừ > Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,34.193.390.554.239,30.466.693.736.843,34193390554239.0,30466693736843.0
