row_label_raw,row_label_full,Chỉ tiêu,Năm nay( Tự lập),Năm nay( Kiểm toán),"Tăng, giảm",Tỷ lệ,numeric__Năm nay( Tự lập),numeric__Năm nay( Kiểm toán),"numeric__Tăng, giảm",numeric__Tỷ lệ
1,1,1,2,3,4=(3-2),5=(4/2),2.0,3.0,,
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,"34,393,832,057,513","34,438,171,048,592","44,338,991,079",0%,,,,0.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,"229,016,827,674","244,780,494,353","15,763,666,679",6.9%,,,,0.69
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"34,164,815,229,839","34,193,390,554,239","28,575,324,400",0%,,,,0.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,"25,205,966,566,557","25,327,872,489,662","121,905,923,105",0%,,,,0.0
5. Lợi nhuận gộp bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp bán hàng và cung cấp dịch vụ,"8,958,848,663,282","8,865,518,064,577","(93,330,598,705)",-1%,,,,-0.01
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,"504,726,255,253","506,107,630,554","1,381,375,301",0%,,,,0.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,"(81,637,395,702)","(25,805,674,679)","55,831,721,023",-68.4%,,,,-6.84
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,"42,089,847,592","42,111,534,689","21,687,097",0%,,,,0.0
"8. Phần lãi trong công ty liên doanh, liên kết","8. Phần lãi trong công ty liên doanh, liên kết","8. Phần lãi trong công ty liên doanh, liên kết","396,744,972,453","411,873,934,390","15,128,961,937",3.8%,,,,0.38
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,"2,787,829,815,090","2,811,111,874,500","23,282,059,410",1%,,,,0.01
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,"853,742,580,490","935,974,797,536","82,232,217,046",9.6%,,,,0.96
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,"6,300,384,891,110","6,062,218,632,164","(238,166,258,946)",-3.8%,,,,-0.38
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,"109,524,705,036","106,139,463,217","(3,385,241,819)",-3.1%,,,,-0.31
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,"95,224,360,297","91,266,440,247","(3,957,920,050)",-4.2%,,,,-0.42
14. Lợi nhuận khác,14. Lợi nhuận khác,14. Lợi nhuận khác,"14,300,344,739","14,873,022,970","572,678,231",4%,,,,0.04
15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,"6,314,685,235,849","6,077,091,655,134","(237,593,580,715)",-3.8%,,,,-0.38
16. Lợi nhuận sau thuế TNDN,16. Lợi nhuận sau thuế TNDN,16. Lợi nhuận sau thuế TNDN,"5,137,307,858,383","4,948,599,251,864","(188,708,606,519)",-3.7%,,,,-0.37
