row_label_raw,row_label_full,Mã số,Khoản mục,Số theo báo cáo trước đây VND,Phân loại lại VND,Trình bày lại VND,Số liệu trình bày lại VND,numeric__Khoản mục,numeric__Số theo báo cáo trước đây VND,numeric__Phân loại lại VND,numeric__Trình bày lại VND,numeric__Số liệu trình bày lại VND
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,30.603.273.412.475,-,(827.095.919),30.602.446.316.556,,30603273412475.0,,-827095919.0,30602446316556.0
02,02,02,Các khoản giảm trừ doanh thu,(34.595.644.700),(101.156.935.013),-,(135.752.579.713),,-34595644700.0,-101156935013.0,,-135752579713.0
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,30.568.677.767.775,(101.156.935.013),(827.095.919),30.466.693.736.843,,30568677767775.0,-101156935013.0,-827095919.0,30466693736843.0
11,11,11,Giá vốn hàng bán và dịch vụ cung cấp,(22.301.142.642.021),-,1.488.032.366,(22.299.654.609.655),,-22301142642021.0,,1488032366.0,-22299654609655.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,8.267.535.125.754,(101.156.935.013),660.936.447,8.167.039.127.188,,8267535125754.0,-101156935013.0,660936447.0,8167039127188.0
25,25,25,Chi phí bán hàng,(2.781.731.453.998),101.156.935.013,8.668.168.214,(2.671.906.350.771),,-2781731453998.0,101156935013.0,8668168214.0,-2671906350771.0
26,26,26,Chi phí quản lý doanh nghiệp,(781.828.733.942),-,917.707.210,(780.911.026.732),,-781828733942.0,,917707210.0,-780911026732.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh,5.692.001.485.641,-,10.246.811.871,5.702.248.297.512,,5692001485641.0,,10246811871.0,5702248297512.0
31,31,31,Thu nhập khác,128.295.160.294,-,10.319.169.650,138.614.329.944,,128295160294.0,,10319169650.0,138614329944.0
32,32,32,Chi phí khác,(112.898.420.059),-,(620.799.991),(113.519.220.050),,-112898420059.0,,-620799991.0,-113519220050.0
40,40,40,Lợi nhuận khác,15.396.740.235,-,9.698.369.659,25.095.109.894,,15396740235.0,,9698369659.0,25095109894.0
50,50,50,Tổng lợi nhuận kế toán trước thuế,5.707.398.225.876,-,19.945.181.530,5.727.343.407.406,,5707398225876.0,,19945181530.0,5727343407406.0
51,51,51,Chi phí thuế TNDN hiện hành,(254.202.906.344),-,(157.212.500.455),(411.415.406.799),,-254202906344.0,,-157212500455.0,-411415406799.0
52,52,52,Chi phí thuế TNDN hoãn lại,(798.606.579.969),-,22.020.002,(798.584.559.967),,-798606579969.0,,22020002.0,-798584559967.0
60,60,60,Lợi nhuận sau thuế thu nhập doanh nghiệp,4.654.588.739.563,-,(137.245.298.923),4.517.343.440.640,,4654588739563.0,,-137245298923.0,4517343440640.0
,,,Phân bổ cho:,,,,,,,,,
61,61,61,Lợi nhuận sau thuế của Tổng Công ty,4.477.971.866.799,-,(139.198.509.917),4.338.773.356.882,,4477971866799.0,,-139198509917.0,4338773356882.0
62,62,62,Lợi nhuận sau thuế của cổ đông không kiểm soát,176.616.872.764,-,1.953.210.994,178.570.083.758,,176616872764.0,,1953210994.0,178570083758.0
