row_label_raw,row_label_full,col_0,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2017 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2016 VND(Trình bày lại – Thuyết minh 44),numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2017 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2016 VND(Trình bày lại – Thuyết minh 44)
LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG KINH DOANH,,,
01 Lợi nhuận kê toán trước thuêĐiều chỉnh cho các khoản:,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG KINH DOANH > 01 Lợi nhuận kê toán trước thuêĐiều chỉnh cho các khoản:,01 Lợi nhuận kê toán trước thuêĐiều chỉnh cho các khoản:,,6.077.091.655.134,5.727.343.407.406,,6077091655134.0,5727343407406.0
"02 Khẩu hạo tài sản cố định (""TSCĐ"") và bất động sản đầu tư","LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG KINH DOANH > 02 Khẩu hạo tài sản cố định (""TSCĐ"") và bất động sản đầu tư","02 Khẩu hạo tài sản cố định (""TSCĐ"") và bất động sản đầu tư",,625.353.451.649,632.464.161.880,,625353451649.0,632464161880.0
03 Các khoản dự phòng/(hoàn nhập dự phòng),LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG KINH DOANH > 03 Các khoản dự phòng/(hoàn nhập dự phòng),03 Các khoản dự phòng/(hoàn nhập dự phòng),,81.974.112.122,(7.126.993.043),,81974112122.0,-7126993043.0
04 Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiên tề có gốc ngoại tệ,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG KINH DOANH > 04 Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiên tề có gốc ngoại tệ,04 Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiên tề có gốc ngoại tệ,,105.642.811,1.407.026,,105642811.0,1407026.0
05 Lãi từ hoạt động đầu tư,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG KINH DOANH > 05 Lãi từ hoạt động đầu tư,05 Lãi từ hoạt động đầu tư,,(920.687.812.365),(1.053.307.864.078),,-920687812365.0,-1053307864078.0
06 Chi phí lãi vay,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG KINH DOANH > 06 Chi phí lãi vay,06 Chi phí lãi vay,,42.111.534.689,82.182.081.908,,42111534689.0,82182081908.0
08 Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG KINH DOANH > 08 Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08 Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,,5.905.948.584.040,5.381.556.201.099,,5905948584040.0,5381556201099.0
09 Giảm/(tăng) các khoản phải thu,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG KINH DOANH > 09 Giảm/(tăng) các khoản phải thu,09 Giảm/(tăng) các khoản phải thu,,187.690.969.602,(106.137.506.487),,187690969602.0,-106137506487.0
10 Giảm/(tăng) hàng tôn kho,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG KINH DOANH > 10 Giảm/(tăng) hàng tôn kho,10 Giảm/(tăng) hàng tôn kho,,50.519.655.998,(210.519.271.008),,50519655998.0,-210519271008.0
11 Giảm các khoản phải trả,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG KINH DOANH > 11 Giảm các khoản phải trả,11 Giảm các khoản phải trả,,(329.359.651.676),(2.915.780.040.492),,-329359651676.0,-2915780040492.0
12 Tăng chi phí trả trước,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG KINH DOANH > 12 Tăng chi phí trả trước,12 Tăng chi phí trả trước,,(17.853.632.868),(54.335.072.441),,-17853632868.0,-54335072441.0
14 Tiên lãi vay đã trả,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG KINH DOANH > 14 Tiên lãi vay đã trả,14 Tiên lãi vay đã trả,,(44.424.319.099),(87.165.769.568),,-44424319099.0,-87165769568.0
15 Thuế thu nhập doanh nghiệp đã nộp,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG KINH DOANH > 15 Thuế thu nhập doanh nghiệp đã nộp,15 Thuế thu nhập doanh nghiệp đã nộp,,(294.736.168.316),(984.037.331.258),,-294736168316.0,-984037331258.0
17 Chi khác từ hoạt động kinh doanh,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG KINH DOANH > 17 Chi khác từ hoạt động kinh doanh,17 Chi khác từ hoạt động kinh doanh,,(389.966.128.772),(304.207.973.110),,-389966128772.0,-304207973110.0
20 Lưu chuyển tiền thuần từ hoạt động kinh doanh,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG KINH DOANH > 20 Lưu chuyển tiền thuần từ hoạt động kinh doanh,20 Lưu chuyển tiền thuần từ hoạt động kinh doanh,,5.067.819.308.909,719.373.236.735,,5067819308909.0,719373236735.0
LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"21 Chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG ĐẦU TƯ > 21 Chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","21 Chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",,(151.157.759.584),(156.346.954.556),,-151157759584.0,-156346954556.0
