row_label_raw,row_label_full,Mã số,TÀI SẢN (tiếp theo),Thuyết minh,Tại ngày 31 tháng 12 năm > 2017 VND,Tại ngày 31 tháng 12 năm > 2016 VND(Trình bày lại – Thuyết minh 44),numeric__TÀI SẢN (tiếp theo),numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2017 VND,numeric__Tại ngày 31 tháng 12 năm > 2016 VND(Trình bày lại – Thuyết minh 44)
200,200,200,TÀI SẢN DÀI HẠN,,8.327.361.633.259,8.472.277.522.027,,,8327361633259.0,8472277522027.0
210,210,210,Các khoản phải thu dài hạn,,20.093.775.062,17.479.816.391,,,20093775062.0,17479816391.0
211,211,211,Phải thu dài hạn của khách hàng,,4.761.134.371,5.317.157.150,,,4761134371.0,5317157150.0
215,215,215,Phải thu về cho vay dài hạn,,4.000.000.000,4.000.000.000,,,4000000000.0,4000000000.0
216,216,216,Phải thu dài hạn khác,7(b),49.118.570.411,46.503.666.490,,,49118570411.0,46503666490.0
219,219,219,Dự phòng phải thu dài hạn khó đòi,8(b),(37.785.929.720),(38.341.007.249),,,-37785929720.0,-38341007249.0
220,220,220,Tài sản cố định,,5.008.100.480.672,5.473.890.167.787,,,5008100480672.0,5473890167787.0
221,221,221,Tài sản cố định hữu hình,13(a),4.044.747.362.200,4.488.854.249.443,,,4044747362200.0,4488854249443.0
222,222,222,Nguyên giá,,9.343.836.360.323,9.186.604.019.960,,,9343836360323.0,9186604019960.0
223,223,223,Giá trị khấu hao lũy kế,,(5.299.088.998.123),(4.697.749.770.517),,,-5299088998123.0,-4697749770517.0
227,227,227,Tài sản cố định vô hình,13(b),963.353.118.472,985.035.918.344,,,963353118472.0,985035918344.0
228,228,228,Nguyên giá,,1.088.315.805.211,1.098.990.100.615,,,1088315805211.0,1098990100615.0
229,229,229,Giá trị khấu hao lũy kế,,(124.962.686.739),(113.954.182.271),,,-124962686739.0,-113954182271.0
230,230,230,Bất động sản đầu tư,14,67.657.774.573,56.987.547.102,,14.0,67657774573.0,56987547102.0
231,231,231,Nguyên giá,,83.725.457.765,71.374.464.942,,,83725457765.0,71374464942.0
232,232,232,Giá trị khấu hao lũy kế,,(16.067.683.192),(14.386.917.840),,,-16067683192.0,-14386917840.0
240,240,240,Tài sản dở dang dài hạn,,111.505.655.106,76.866.965.060,,,111505655106.0,76866965060.0
242,242,242,Chỉ phí xây dựng cơ bản dở dang,15,111.505.655.106,76.866.965.060,,15.0,111505655106.0,76866965060.0
250,250,250,Các khoản đầu tư tài chính dài hạn,,2.152.327.824.131,1.959.509.760.655,,,2152327824131.0,1959509760655.0
252,252,252,"Đầu tư vào công ty liên doanh, liên kết",4(b),1.747.121.088.747,1.602.030.153.562,,,1747121088747.0,1602030153562.0
253,253,253,Đầu tư góp vốn vào đơn vị khác,4(b),736.652.914.597,763.251.332.167,,,736652914597.0,763251332167.0
254,254,254,Dự phòng đầu tư tài chính dài hạn,4(b),(352.315.059.118),(426.640.604.979),,,-352315059118.0,-426640604979.0
255,255,255,Đầu tư nằm giữ đến ngày đáo hạn,4(a),20.868.879.905,20.868.879.905,,,20868879905.0,20868879905.0
260,260,260,Tài sản dài hạn khác,,967.676.123.715,887.543.265.032,,,967676123715.0,887543265032.0
261,261,261,Chỉ phí trả trước dài hạn,11(b),816.991.436.755,756.355.605.445,,,816991436755.0,756355605445.0
262,262,262,Tài sản thuế thu nhập hoãn lại,16,136.822.415.511,121.304.649.369,,16.0,136822415511.0,121304649369.0
263,263,263,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",10(b),13.862.271.449,9.883.010.218,,,13862271449.0,9883010218.0
270,270,270,TỔNG TÀI SẢN,,22.013.689.109.910,19.194.747.709.502,,,22013689109910.0,19194747709502.0
