row_label_raw,row_label_full,col_0,Tại ngày 1.1.2017 VND(Trình bày lại– Thuyết minh 44),Số phát sinh trong năm VND,Số đã thực nộp trong năm VND,Cán trừ/giảm khác trong năm VND,Tại ngày 31.12.2017 VND,numeric__Tại ngày 1.1.2017 VND(Trình bày lại– Thuyết minh 44),numeric__Số phát sinh trong năm VND,numeric__Số đã thực nộp trong năm VND,numeric__Cán trừ/giảm khác trong năm VND,numeric__Tại ngày 31.12.2017 VND
Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,,,,,
Thuế giá trị gia tăng,Phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,156.011.523.718,12.065.636.883.692,(1.625.829.800.150),(10.509.505.657.192),86.312.950.068,156011523718.0,12065636883692.0,-1625829800150.0,-10509505657192.0,86312950068.0
Thuế tiêu thụ đặc biệt,Phải trả > Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,566.126.076.445,6.771.375.254.626,(6.674.682.941.723),-,662.818.389.348,566126076445.0,6771375254626.0,-6674682941723.0,,662818389348.0
Thuế thu nhập cá nhân,Phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,20.085.738.933,191.192.264.339,(157.290.379.874),-,53.987.623.398,20085738933.0,191192264339.0,-157290379874.0,,53987623398.0
Thuế thu nhập doanh nghiệp,Phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,221.199.924.457,1.140.540.458.945,(294.736.168.316),(662.700.746.580),404.303.468.506,221199924457.0,1140540458945.0,-294736168316.0,-662700746580.0,404303468506.0
Thuế khác,Phải trả > Thuế khác,Thuế khác,7.711.320.370,62.767.740.608,(68.144.427.851),-,2.334.633.128,7711320370.0,62767740608.0,-68144427851.0,,2334633128.0
,,,971.134.583.923,20.231.512.602.210,(8.820.683.717.914),(11.172.206.403.772),1.209.757.064.447,971134583923.0,20231512602210.0,-8820683717914.0,-11172206403772.0,1209757064447.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,133.125.768.230,10.488.572.175.522,-,(10.509.505.657.192),112.192.286.560,133125768230.0,10488572175522.0,,-10509505657192.0,112192286560.0
Thuế thu nhập doanh nghiệp nộp thừa,Phải thu > Thuế thu nhập doanh nghiệp nộp thừa,Thuế thu nhập doanh nghiệp nộp thừa,664.808.325.180,-,-,(662.700.746.580),2.107.578.600,664808325180.0,,,-662700746580.0,2107578600.0
Thuế khác,Phải thu > Thuế khác,Thuế khác,12.848.811.175,170.031.464,-,(12.165.552.461),853.290.178,12848811175.0,170031464.0,,-12165552461.0,853290178.0
,,,810.782.904.585,10.488.742.206.986,-,(11.184.371.956.233),115.153.155.338,810782904585.0,10488742206986.0,,-11184371956233.0,115153155338.0
