row_label_raw,row_label_full,Tên công ty,Hoạt động chính,2017 > Quyền sở hữu và biểu quyết %,2017 > Giá gốc VND,2017 > Giá trị hợp lý VND,2017 > Dự phòng VND,2016 > Quyền sở hữu và biểu quyết %,2016 > Giá gốc VND,2016 > Giá trị hợp lý VND,2016 > Dự phòng VND,numeric__Hoạt động chính,numeric__2017 > Quyền sở hữu và biểu quyết %,numeric__2017 > Giá gốc VND,numeric__2017 > Giá trị hợp lý VND,numeric__2017 > Dự phòng VND,numeric__2016 > Quyền sở hữu và biểu quyết %,numeric__2016 > Giá gốc VND,numeric__2016 > Giá trị hợp lý VND,numeric__2016 > Dự phòng VND
Công ty Cổ phần Kinh doanh Lương thực Thực phẩm Trường Sa,Công ty Cổ phần Kinh doanh Lương thực Thực phẩm Trường Sa,Công ty Cổ phần Kinh doanh Lương thực Thực phẩm Trường Sa,"Sản xuất sản phẩm nông nghiệp, thực phẩm","38,53",4.597.654.606,(*),-,"38,53",5.270.417.859,(*),-,,38.53,4597654606.0,,,38.53,5270417859.0,,
Công ty Cổ phần Bia Sài Gòn - Phủ Lý,Công ty Cổ phần Bia Sài Gòn - Phủ Lý,Công ty Cổ phần Bia Sài Gòn - Phủ Lý,"Sản xuất bia, nước khoáng, dịch vụ khách sạn và kinh doanh vận chuyển","29,76",134.708.832.052,(*),-,"29,76",123.605.999.939,(*),-,,29.76,134708832052.0,,,29.76,123605999939.0,,
Công ty Cổ phần Tư vấn và Chuyển giao Công nghệ Thành Nam,Công ty Cổ phần Tư vấn và Chuyển giao Công nghệ Thành Nam,Công ty Cổ phần Tư vấn và Chuyển giao Công nghệ Thành Nam,Tư vấn xây dựng và thiết kế,"28,57",329.653.546,(*),-,"28,57",329.653.546,(*),-,,28.57,329653546.0,,,28.57,329653546.0,,
Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,"Sản xuất bia, rượu và nước giải khát","30,52",81.363.598.253,111.296.340.000,-,"30,52",74.457.738.231,118.490.400.000,-,,30.52,81363598253.0,111296340000.0,,30.52,74457738231.0,118490400000.0,
Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,"Sản xuất, lắp đặt các sản phẩm máy móc cầu đường và xây dựng công nghiệp",26,12.641.612.636,(*),-,26,10.832.720.482,(*),-,,26.0,12641612636.0,,,26.0,10832720482.0,,
Công ty Cổ phần Bia - Nước Giải khát Tây Đỏ,Công ty Cổ phần Bia - Nước Giải khát Tây Đỏ,Công ty Cổ phần Bia - Nước Giải khát Tây Đỏ,"Sản xuất bia, rượu và nước giải khát","27,62",111.504.428.891,(*),-,"30,77",92.727.830.044,(*),-,,27.62,111504428891.0,,,30.77,92727830044.0,,
Công ty TNHH Trung Tâm Mê Linh,Công ty TNHH Trung Tâm Mê Linh,Công ty TNHH Trung Tâm Mê Linh,Cho thuê và quản lý cao óc văn phòng,35,119.215.074.210,(*),-,35,114.547.277.713,(*),-,,35.0,119215074210.0,,,35.0,114547277713.0,,
Công ty TNHH Crown Sài Gòn,Công ty TNHH Crown Sài Gòn,Công ty TNHH Crown Sài Gòn,Sản xuất lon nhóm,"30,04",302.127.077.404,(*),-,"30,04",297.743.316.779,(*),-,,30.04,302127077404.0,,,30.04,297743316779.0,,
Công ty TNHH Thuỷ Tĩnh Malaya Việt Nam,Công ty TNHH Thuỷ Tĩnh Malaya Việt Nam,Công ty TNHH Thuỷ Tĩnh Malaya Việt Nam,Sản xuất các sản phẩm thủy tinh,30,169.368.729.376,(*),-,30,135.587.617.270,(*),-,,30.0,169368729376.0,,,30.0,135587617270.0,,
Công ty TNHH Bao bi Sanmiguel Phú Thọ,Công ty TNHH Bao bi Sanmiguel Phú Thọ,Công ty TNHH Bao bi Sanmiguel Phú Thọ,"Sản xuất bia, rượu và nước giải khát",35,55.532.678.119,(*),-,35,51.436.277.377,(*),-,,35.0,55532678119.0,,,35.0,51436277377.0,,
Công ty TNHH Sản xuất Rượu và Cần Việt Nam,Công ty TNHH Sản xuất Rượu và Cần Việt Nam,Công ty TNHH Sản xuất Rượu và Cần Việt Nam,"Sản xuất bia, rượu và nước giải khát",45,19.988.792.554,(*),(19.988.792.554),45,12.834.663.750,(*),-,,45.0,19988792554.0,,-19988792554.0,45.0,12834663750.0,,
Công ty Cổ phần Bia Sài Gòn - Bình Tây,Công ty Cổ phần Bia Sài Gòn - Bình Tây,Công ty Cổ phần Bia Sài Gòn - Bình Tây,"Sản xuất bia, rượu và nước giải khát","21,43",326.779.406.443,(*),-,"21,43",297.268.121.703,(*),-,,21.43,326779406443.0,,,21.43,297268121703.0,,
