row_label_raw,row_label_full,Tên công ty,Hoạt động chính,2017 > Quyền sở hữu và biểu quyết %,2017 > Giá gốc VND,2017 > Giá trị hợp lý VND,2017 > Dự phòng VND,2016 > Quyền sở hữu và biểu quyết %,2016 > Giá gốc VND,2016 > Giá trị hợp lý VND,2016 > Dự phòng VND,numeric__Hoạt động chính,numeric__2017 > Quyền sở hữu và biểu quyết %,numeric__2017 > Giá gốc VND,numeric__2017 > Giá trị hợp lý VND,numeric__2017 > Dự phòng VND,numeric__2016 > Quyền sở hữu và biểu quyết %,numeric__2016 > Giá gốc VND,numeric__2016 > Giá trị hợp lý VND,numeric__2016 > Dự phòng VND
Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty Cổ phần Bia Sài Gòn - Miền Trung,"Sản xuất bia, rượu và nước giải khát","32,39",150.263.429.620,304.692.034.500,-,"32,39",140.520.888.952,290.444.362.600,-,,32.39,150263429620.0,304692034500.0,,32.39,140520888952.0,290444362600.0,
Công ty Cổ phần Đầu tư Tân Thành,Công ty Cổ phần Đầu tư Tân Thành,Công ty Cổ phần Đầu tư Tân Thành,"Sản xuất bia, rượu và nước giải khát",29,69.681.606.168,(*),-,29,69.918.088.079,(*),-,,29.0,69681606168.0,,,29.0,69918088079.0,,
Công ty Cổ phần Bia Sài Gòn - Bac Liêu,Công ty Cổ phần Bia Sài Gòn - Bac Liêu,Công ty Cổ phần Bia Sài Gòn - Bac Liêu,"Sản xuất bia, rượu và nước giải khát","10,2",39.376.471.352,(*),-,"10,2",39.205.674.673,(*),-,,10.2,39376471352.0,,,10.2,39205674673.0,,
Công ty Cổ phần Bia Sài Gòn - Ninh Thuận,Công ty Cổ phần Bia Sài Gòn - Ninh Thuận,Công ty Cổ phần Bia Sài Gòn - Ninh Thuận,"Sản xuất bia, rượu và nước giải khát",-,-,(*),-,20,41.354.195.103,(*),-,,,,,,20.0,41354195103.0,,
Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,"Sản xuất bia, rượu và nước giải khát",20,45.712.379.489,(*),-,20,42.519.174.538,(*),-,,20.0,45712379489.0,,,20.0,42519174538.0,,
Công ty Cổ phần Bia Sài Gòn - Kiên giang,Công ty Cổ phần Bia Sài Gòn - Kiên giang,Công ty Cổ phần Bia Sài Gòn - Kiên giang,"Sản xuất bia, rượu và nước giải khát",20,27.867.627.428,(*),-,20,25.650.998.140,(*),-,,20.0,27867627428.0,,,20.0,25650998140.0,,
Công ty Cổ phần đầu tư Sabeco Pearl,Công ty Cổ phần đầu tư Sabeco Pearl,Công ty Cổ phần đầu tư Sabeco Pearl,"Sản xuất bia, rượu và nước giải khát",-,-,(*),-,26,26.219.499.384,(*),-,,,,,,26.0,26219499384.0,,
Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,"Sản xuất bia, rượu và nước giải khát",26,36.062.036.600,(*),-,-,-,-,-,,26.0,36062036600.0,,,,,,
Công ty Cổ phần Bia Sài Gòn - Bến Tre,Công ty Cổ phần Bia Sài Gòn - Bến Tre,Công ty Cổ phần Bia Sài Gòn - Bến Tre,"Sản xuất bia, rượu và nước giải khát",20,20.000.000.000,(*),-,-,-,-,-,,20.0,20000000000.0,,,,,,
Công ty Cổ phần Bia Sài Gòn - Lâm Đồng,Công ty Cổ phần Bia Sài Gòn - Lâm Đồng,Công ty Cổ phần Bia Sài Gòn - Lâm Đồng,"Sản xuất bia, rượu và nước giải khát",20,20.000.000.000,(*),-,-,-,-,-,,20.0,20000000000.0,,,,,,
,,,,,1.747.121.088.747,,(19.988.792.554),,1.602.030.153.562,,-,,,1747121088747.0,,-19988792554.0,,1602030153562.0,,
