row_label_raw,row_label_full,Mã số,col_1,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2017 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2016 VND (Trình bày lại – Thuyết minh 44),numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2017 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2016 VND (Trình bày lại – Thuyết minh 44)
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,,34.438.171.048.592,30.602.446.316.556,,,34438171048592.0,30602446316556.0
02,02,02,Các khoản giảm trừ doanh thu,,(244.780.494.353),(135.752.579.713),,,-244780494353.0,-135752579713.0
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,30,34.193.390.554.239,30.466.693.736.843,,30.0,34193390554239.0,30466693736843.0
11,11,11,Giá vốn hàng bán và dịch vụ cung cấp,31,(25.327.872.489.662),(22.299.654.609.655),,31.0,-25327872489662.0,-22299654609655.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,8.865.518.064.577,8.167.039.127.188,,,8865518064577.0,8167039127188.0
21,21,21,Doanh thu hoạt động tài chính,32,506.107.630.554,751.041.069.989,,32.0,506107630554.0,751041069989.0
22,22,22,Chi phí tài chính,33,25.805.674.678,(68.664.200.785),,33.0,25805674678.0,-68664200785.0
23,23,23,- Trong đó: Chi phí lãi vay,,(42.111.534.689),(82.182.081.908),,,-42111534689.0,-82182081908.0
24,24,24,"Phần lãi trong công ty liên doanh, liên kết",,411.873.934.390,305.649.678.623,,,411873934390.0,305649678623.0
25,25,25,Chi phí bán hàng,34,(2.811.111.874.500),(2.671.906.350.771),,34.0,-2811111874500.0,-2671906350771.0
26,26,26,Chi phí quản lý doanh nghiệp,35,(935.974.797.536),(780.911.026.732),,35.0,-935974797536.0,-780911026732.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh,,6.062.218.632.164,5.702.248.297.512,,,6062218632164.0,5702248297512.0
31,31,31,Thu nhập khác,,106.139.463.217,138.614.329.944,,,106139463217.0,138614329944.0
32,32,32,Chi phí khác,,(91.266.440.247),(113.519.220.050),,,-91266440247.0,-113519220050.0
40,40,40,Lợi nhuận khác,36,14.873.022.970,25.095.109.894,,36.0,14873022970.0,25095109894.0
50,50,50,Tổng lợi nhuận kế toán trước thuế,,6.077.091.655.134,5.727.343.407.406,,,6077091655134.0,5727343407406.0
51,51,51,Chi phí thuế TNDN hiện hành,38,(1.140.540.458.945),(411.415.406.799),,38.0,-1140540458945.0,-411415406799.0
52,52,52,Chi phí thuế TNDN hoãn lại,"16, 38",12.048.055.675,(798.584.559.967),,,12048055675.0,-798584559967.0
60,60,60,Lợi nhuận sau thuế TNDN,,4.948.599.251.864,4.517.343.440.640,,,4948599251864.0,4517343440640.0
,,,Phân bổ cho:,,,,,,,
61,61,61,Lợi nhuận sau thuế của Tổng Công ty,,4.711.485.204.581,4.338.773.356.882,,,4711485204581.0,4338773356882.0
62,62,62,Lợi nhuận sau thuế của cổ đông không kiểm soát,,237.114.047.283,178.570.083.758,,,237114047283.0,178570083758.0
70,70,70,Lãi cơ bản trên cổ phiếu,29,6.915,6.194,,29.0,6915.0,6194.0
71,71,71,Lãi suy giảm trên cổ phiếu,29,6.915,6.194,,29.0,6915.0,6194.0
