row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Tại ngày 31 tháng 12 năm > 2017 VND,Tại ngày 31 tháng 12 năm > 2016 VND(Trình bày lại – Thuyết minh 44),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2017 VND,numeric__Tại ngày 31 tháng 12 năm > 2016 VND(Trình bày lại – Thuyết minh 44)
300,300,300,NỘ PHẢI TRẢ,,7.593.162.674.962,6.898.812.937.830,,,7593162674962.0,6898812937830.0
310,310,310,Nợ ngắn hạn,,7.401.584.603.555,6.613.016.425.796,,,7401584603555.0,6613016425796.0
311,311,311,Phải trả người bán ngắn hạn,17,2.020.399.662.484,2.016.162.043.577,,17.0,2020399662484.0,2016162043577.0
312,312,312,Người mua trả tiền trước ngắn hạn,18,89.250.848.970,490.295.652.849,,18.0,89250848970.0,490295652849.0
313,313,313,Thuế và các khoản phải nộp Ngân sách Nhà nước,19,1.209.757.064.447,971.134.583.923,,19.0,1209757064447.0,971134583923.0
314,314,314,Phải trả người lao động,,222.226.205.331,264.807.999.201,,,222226205331.0,264807999201.0
315,315,315,Chi phí phải trả ngắn hạn,20,196.525.953.248,226.577.837.383,,20.0,196525953248.0,226577837383.0
318,318,318,Doanh thu chưa thực hiện ngắn hạn,,606.060.605,800.000.000,,,606060605.0,800000000.0
319,319,319,Phải trả ngắn hạn khác,21(a),2.630.180.684.051,1.270.403.801.122,,,2630180684051.0,1270403801122.0
320,320,320,Vay ngắn hạn,22(a),722.903.981.780,1.042.309.667.870,,,722903981780.0,1042309667870.0
321,321,321,Dự phòng phải trả ngắn hạn,,12.991.411.679,-,,,12991411679.0,
322,322,322,"Quỹ khen thưởng, phúc lợi",23,296.742.730.960,330.524.839.871,,23.0,296742730960.0,330524839871.0
330,330,330,Nợ dài hạn,,191.578.071.407,285.796.512.034,,,191578071407.0,285796512034.0
332,332,332,Người mua trả tiền trước dài hạn,,22.183.449,22.183.449,,,22183449.0,22183449.0
337,337,337,Phải trả dài hạn khác,21(b),53.632.516.000,52.776.316.000,,,53632516000.0,52776316000.0
338,338,338,Vay dài hạn,22(b),1.941.629.834,164.412.285.558,,,1941629834.0,164412285558.0
341,341,341,Thuế thu nhập hoãn lại phải trả,16,17.217.198.238,13.747.487.771,,16.0,17217198238.0,13747487771.0
342,342,342,Dự phòng phải trả dài hạn,,64.493.890.463,567.585.833,,,64493890463.0,567585833.0
343,343,343,Quỹ phát triển khoa học và công nghệ,,54.270.653.423,54.270.653.423,,,54270653423.0,54270653423.0
400,400,400,VỐN CHÚ SỐ HỮU,,14.420.526.434.948,12.295.934.771.672,,,14420526434948.0,12295934771672.0
410,410,410,Vốn chủ sở hữu,,14.420.489.034.948,12.295.897.371.672,,,14420489034948.0,12295897371672.0
411,411,411,Vốn góp của chủ sở hữu,"24, 25",6.412.811.860.000,6.412.811.860.000,,,6412811860000.0,6412811860000.0
411a,411a,411a,- Cổ phiếu phố thông có quyền biểu quyết,,6.412.811.860.000,6.412.811.860.000,,,6412811860000.0,6412811860000.0
414,414,414,Vốn khác của chủ sở hữu,25,3.208.666.226,3.208.666.226,,25.0,3208666226.0,3208666226.0
415,415,415,Cổ phiếu quỹ,25,-,(23.450.000.000),,25.0,,-23450000000.0
417,417,417,Chênh lệch tỷ giá hối đoái,25,19.113.771.975,17.006.600.079,,25.0,19113771975.0,17006600079.0
418,418,418,Quỹ đầu tư phát triển,25,1.118.963.482.640,1.118.398.295.310,,25.0,1118963482640.0,1118398295310.0
420,420,420,Quỹ khác thuộc vốn chủ sở hữu,25,5.327.112.664,6.040.737.039,,25.0,5327112664.0,6040737039.0
421,421,421,"Lợi nhuận sau thuế (""LNST"") chưa phân phối",25,5.823.903.898.574,3.713.726.741.137,,25.0,5823903898574.0,3713726741137.0
421a,421a,421a,- LNST chưa phân phối của các năm trước,,2.946.086.838.409,1.675.604.484.894,,,2946086838409.0,1675604484894.0
421b,421b,421b,- LNST chưa phân phối năm nay,,2.877.817.060.165,2.038.122.256.243,,,2877817060165.0,2038122256243.0
429,429,429,Lợi ích cổ đông không kiểm soát,"25, 26",1.037.160.242.869,1.048.154.471.881,,,1037160242869.0,1048154471881.0
430,430,430,Nguồn kinh phí và quỹ khác,,37.400.000,37.400.000,,,37400000.0,37400000.0
431,431,431,Nguồn kinh phí,,37.400.000,37.400.000,,,37400000.0,37400000.0
440,440,440,TỔNG NGUỒN VỐN,,22.013.689.109.910,19.194.747.709.502,,,22013689109910.0,19194747709502.0
