row_label_raw,row_label_full,Cổ tức phải trả cho cổ đông của Tổng Công ty (Thuyết minh 27) (*) > Phải trả Nhà Nước cho phần đánh giá quyền sử dụng đất khi xác định giá trị doanh nghiệp để cổ phần hóa (**),2017VND > 1.443.498.507.825 > 735.379.872.700,2016VND(Trình bày lại – Thuyết minh 40) > 207.879.301.875 > 735.379.872.700,numeric__2017VND > 1.443.498.507.825 > 735.379.872.700,numeric__2016VND(Trình bày lại – Thuyết minh 40) > 207.879.301.875 > 735.379.872.700
"Ký quỹ, ký cược nhận được","Ký quỹ, ký cược nhận được","Ký quỹ, ký cược nhận được",187.756.893.824,242.200.647.385,187756893824.0,242200647385.0
Phải trả Qũy hỗ trợ sắp xếp và phát triển doanh nghiệp (***),Phải trả Qũy hỗ trợ sắp xếp và phát triển doanh nghiệp (***),Phải trả Qũy hỗ trợ sắp xếp và phát triển doanh nghiệp (***),109.965.627.840,-,109965627840.0,
Cổ tức phải trả cho cổ đông thiếu số,Cổ tức phải trả cho cổ đông thiếu số,Cổ tức phải trả cho cổ đông thiếu số,77.890.155.840,14.090.898.196,77890155840.0,14090898196.0
Quỹ công tác xã hội,Quỹ công tác xã hội,Quỹ công tác xã hội,22.340.343.864,29.748.274.634,22340343864.0,29748274634.0
Phải trả các bên liên quan (Thuyết minh 41(b)),Phải trả các bên liên quan (Thuyết minh 41(b)),Phải trả các bên liên quan (Thuyết minh 41(b)),862.315.747,823.032.879,862315747.0,823032879.0
Tạm ứng thanh lý giải thể Quỹ đầu tư chứng khoán Sài Gòn A2 (****),Tạm ứng thanh lý giải thể Quỹ đầu tư chứng khoán Sài Gòn A2 (****),Tạm ứng thanh lý giải thể Quỹ đầu tư chứng khoán Sài Gòn A2 (****),15.350.000.000,15.350.000.000,15350000000.0,15350000000.0
Khác,Khác,Khác,37.136.966.411,24.931.773.453,37136966411.0,24931773453.0
,,,2.630.180.684.051,1.270.403.801.122,2630180684051.0,1270403801122.0
