row_label_raw,row_label_full,col_0,2017 > Quyền sở hữu và biểu quyết %,2017 > Giá gốc VND,2017 > Giá trị hợp lý VND,2017 > Dự phòng VND,2016 > Quyền sở hữu và biểu quyết %,2016 > Giá gốc VND,2016 > Giá trị hợp lý VND,2016 > Dự phòng VND,numeric__2017 > Quyền sở hữu và biểu quyết %,numeric__2017 > Giá gốc VND,numeric__2017 > Giá trị hợp lý VND,numeric__2017 > Dự phòng VND,numeric__2016 > Quyền sở hữu và biểu quyết %,numeric__2016 > Giá gốc VND,numeric__2016 > Giá trị hợp lý VND,numeric__2016 > Dự phòng VND
Công ty Cổ phần Đầu tư và Phát triển Không Gian ngầm,Công ty Cổ phần Đầu tư và Phát triển Không Gian ngầm,Công ty Cổ phần Đầu tư và Phát triển Không Gian ngầm,"5,29",23.085.000.000,(*),(23.085.000.000),"5,29",23.085.000.000,(*),(1.721.774.409),5.29,23085000000.0,,-23085000000.0,5.29,23085000000.0,,-1721774409.0
Công ty Du lịch Dầu khí Phương Đông,Công ty Du lịch Dầu khí Phương Đông,Công ty Du lịch Dầu khí Phương Đông,"9,8",30.700.950.000,5.880.000.000,(24.820.950.000),"9,8",30.700.950.000,6.762.000.000,(23.938.950.000),9.8,30700950000.0,5880000000.0,-24820950000.0,9.8,30700950000.0,6762000000.0,-23938950000.0
Quỹ đầu tư Chứng khoán Sài Gòn A2,Quỹ đầu tư Chứng khoán Sài Gòn A2,Quỹ đầu tư Chứng khoán Sài Gòn A2,10,51.107.720.722,(*),(35.757.720.722),10,51.107.720.722,(*),(33.731.120.722),10.0,51107720722.0,,-35757720722.0,10.0,51107720722.0,,-33731120722.0
Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,"13,54",26.588.267.394,(*),-,"16,71",26.588.267.394,(*),-,13.54,26588267394.0,,,16.71,26588267394.0,,
Quỹ đầu tư Việt Nam,Quỹ đầu tư Việt Nam,Quỹ đầu tư Việt Nam,"7,97",35.617.214.481,(*),-,"7,97",42.337.214.481,(*),(24.851.604.453),7.97,35617214481.0,,,7.97,42337214481.0,,-24851604453.0
Công ty Cổ phần Chứng khoán Đại Việt,Công ty Cổ phần Chứng khoán Đại Việt,Công ty Cổ phần Chứng khoán Đại Việt,"7,2",45.000.000.000,(*),(11.407.259.277),"7,2",45.000.000.000,(*),(15.958.630.635),7.2,45000000000.0,,-11407259277.0,7.2,45000000000.0,,-15958630635.0
Công ty TNHH Đầu tư Sabeco Hiệp Phúc,Công ty TNHH Đầu tư Sabeco Hiệp Phúc,Công ty TNHH Đầu tư Sabeco Hiệp Phúc,8,24.426.586.800,(*),(24.426.586.800),8,24.426.586.800,(*),-,8.0,24426586800.0,,-24426586800.0,8.0,24426586800.0,,
Công ty Cổ phần Bia Sài Gòn - Ninh Thuận,Công ty Cổ phần Bia Sài Gòn - Ninh Thuận,Công ty Cổ phần Bia Sài Gòn - Ninh Thuận,"10,26",19.800.000.000,(*),-,-,-,-,-,10.26,19800000000.0,,,,,,
Công ty Cổ phần Bia Sài Gòn - Đồng Nai,Công ty Cổ phần Bia Sài Gòn - Đồng Nai,Công ty Cổ phần Bia Sài Gòn - Đồng Nai,"10,38",3.954.000.000,(*),(3.872.396.382),"10,38",3.954.000.000,(*),(3.327.377.203),10.38,3954000000.0,,-3872396382.0,10.38,3954000000.0,,-3327377203.0
Công ty Cổ phần Dịch vụ và Thương mại DIC,Công ty Cổ phần Dịch vụ và Thương mại DIC,Công ty Cổ phần Dịch vụ và Thương mại DIC,"8,35",14.992.108.200,(*),(341.936.800),"8,35",14.992.108.200,(*),-,8.35,14992108200.0,,-341936800.0,8.35,14992108200.0,,
Công ty Cổ phần Du lịch Sài Gòn Đông Hà,Công ty Cổ phần Du lịch Sài Gòn Đông Hà,Công ty Cổ phần Du lịch Sài Gòn Đông Hà,"3,64",5.600.000.000,(*),(1.514.648.583),"3,64",5.600.000.000,(*),(361.013.016),3.64,5600000000.0,,-1514648583.0,3.64,5600000000.0,,-361013016.0
Công ty Cổ phần Cồn Rượu Bình Tây - Việt Nam,Công ty Cổ phần Cồn Rượu Bình Tây - Việt Nam,Công ty Cổ phần Cồn Rượu Bình Tây - Việt Nam,6,300.000.000,(*),-,6,300.000.000,(*),-,6.0,300000000.0,,,6.0,300000000.0,,
Công ty Cổ phần Du lịch Thương mại Nha Trang,Công ty Cổ phần Du lịch Thương mại Nha Trang,Công ty Cổ phần Du lịch Thương mại Nha Trang,"1,89",1.161.147.000,(*),-,"1,89",1.161.147.000,(*),-,1.89,1161147000.0,,,1.89,1161147000.0,,
Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt Nam,Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt Nam,Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt Nam,-,-,(*),-,"0,46",36.603.803.243,51.552.459.000,-,,,,,0.46,36603803243.0,51552459000.0,
Khác,Khác,Khác,-,-,(*),-,"0,00",3.074.614.327,(*),(2.426.789.877),,,,,0.0,3074614327.0,,-2426789877.0
,,,,736.652.914.597,,(332.326.266.564),,763.251.332.167,,(426.640.604.979),,736652914597.0,,-332326266564.0,,763251332167.0,,-426640604979.0
