row_label_raw,row_label_full,Mã số,Khoản mục > LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,Số theo báo cáo trước đây VND > LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,Trình bày lại VND > LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,Số liệu trình bày lại VND > LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,numeric__Khoản mục > LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,numeric__Số theo báo cáo trước đây VND > LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,numeric__Trình bày lại VND > LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,numeric__Số liệu trình bày lại VND > LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH
1,1,1,Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,5.707.398.225.876,19.945.181.530,5.727.343.407.406,,5707398225876.0,19945181530.0,5727343407406.0
02,02,02,"Khấu hao và hao mòn tài sản cố định (""TSCĐ"") và bất động sản đầu tư",633.843.505.732,(1.379.343.852),632.464.161.880,,633843505732.0,-1379343852.0,632464161880.0
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,5.362.990.363.421,18.565.837.678,5.381.556.201.099,,5362990363421.0,18565837678.0,5381556201099.0
09,09,09,Tăng các khoản phải thu,(106.157.403.769),19.897.282,(106.137.506.487),,-106157403769.0,19897282.0,-106137506487.0
11,11,11,Giám các khoản phải trả,(2.728.864.307.435),(186.915.733.057),(2.915.780.040.492),,-2728864307435.0,-186915733057.0,-2915780040492.0
17,17,17,Tiền chi khác cho hoạt động kinh doanh,(347.987.375.203),43.779.402.093,(304.207.973.110),,-347987375203.0,43779402093.0,-304207973110.0
20,20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,843.923.832.739,(124.550.596.004),719.373.236.735,,843923832739.0,-124550596004.0,719373236735.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,,
21,21,21,"Chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",(280.897.550.560),124.550.596.004,(156.346.954.556),,-280897550560.0,124550596004.0,-156346954556.0
30,30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,(1.128.007.854.530),124.550.596.004,(1.003.457.258.526),,-1128007854530.0,124550596004.0,-1003457258526.0
50,50,50,Lưu chuyển tiền thuần trong năm,(4.491.141.016.519),-,(4.491.141.016.519),,-4491141016519.0,,-4491141016519.0
