row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Tòa nhà VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Tòa nhà VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2017,Nguyên giá > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,27.812.438.744,8.650.204.623,36.462.643.367,27812438744.0,8650204623.0,36462643367.0
Chuyển từ tài sản cố định hữu hình(Thuyết minh 13(a)),Nguyên giá > Chuyển từ tài sản cố định hữu hình(Thuyết minh 13(a)),Chuyển từ tài sản cố định hữu hình(Thuyết minh 13(a)),12.350.992.823,-,12.350.992.823,12350992823.0,,12350992823.0
Tại ngày 31 tháng 12 năm 2017,Nguyên giá > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,40.163.431.567,8.650.204.623,48.813.636.190,40163431567.0,8650204623.0,48813636190.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2017,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,6.095.034.877,5.140.971.045,11.236.005.922,6095034877.0,5140971045.0,11236005922.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,962.826.635,359.730.318,1.322.556.953,962826635.0,359730318.0,1322556953.0
Chuyển từ tài sản cố định hữu hình(Thuyết minh 13(a)),Khấu hao lũy kế > Chuyển từ tài sản cố định hữu hình(Thuyết minh 13(a)),Chuyển từ tài sản cố định hữu hình(Thuyết minh 13(a)),-,358.208.399,358.208.399,,358208399.0,358208399.0
Tại ngày 31 tháng 12 năm 2017,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,7.057.861.512,5.858.909.762,12.916.771.274,7057861512.0,5858909762.0,12916771274.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2017,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,21.717.403.867,3.509.233.578,25.226.637.445,21717403867.0,3509233578.0,25226637445.0
Tại ngày 31 tháng 12 năm 2017,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,33.105.570.055,2.791.294.861,35.896.864.916,33105570055.0,2791294861.0,35896864916.0
