row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*) VND,Phần mềm máy tính VND,TSCĐ vô hình khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất (*) VND,numeric__Phần mềm máy tính VND,numeric__TSCĐ vô hình khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2017,Nguyên giá > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,1.036.650.762.548,62.091.890.585,247.447.482,1.098.990.100.615,1036650762548.0,62091890585.0,247447482.0,1098990100615.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,1.761.200.000,-,1.761.200.000,,1761200000.0,,1761200000.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(12.435.495.404),-,-,(12.435.495.404),-12435495404.0,,,-12435495404.0
Tại ngày 31 tháng 12 năm 2017,Nguyên giá > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,1.024.215.267.144,63.853.090.585,247.447.482,1.088.315.805.211,1024215267144.0,63853090585.0,247447482.0,1088315805211.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2017,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,64.811.870.903,49.035.179.767,107.131.601,113.954.182.271,64811870903.0,49035179767.0,107131601.0,113954182271.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,7.087.713.000,5.883.218.003,46.945.209,13.017.876.212,7087713000.0,5883218003.0,46945209.0,13017876212.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.009.371.744),-,-,(2.009.371.744),-2009371744.0,,,-2009371744.0
Tại ngày 31 tháng 12 năm 2017,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,69.890.212.159,54.918.397.770,154.076.810,124.962.686.739,69890212159.0,54918397770.0,154076810.0,124962686739.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2017,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,971.838.891.645,13.056.710.818,140.315.881,985.035.918.344,971838891645.0,13056710818.0,140315881.0,985035918344.0
Tại ngày 31 tháng 12 năm 2017,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,954.325.054.985,8.934.692.815,93.370.672,963.353.118.472,954325054985.0,8934692815.0,93370672.0,963353118472.0
