row_label_raw,row_label_full,Doanh thu bán hàngvà cung cấp dịch vụ,1,8.878.307.231.969,1.581.992.500,8.879.889.224.469,numeric__1,numeric__8.878.307.231.969,numeric__1.581.992.500,numeric__8.879.889.224.469
Giá vốn hàng bán vàdịch vụ cung cấp,Giá vốn hàng bán vàdịch vụ cung cấp,Giá vốn hàng bán vàdịch vụ cung cấp,11,(6.973.291.227.574),(1.426.035.961),(6.974.717.263.535),11.0,-6973291227574.0,-1426035961.0,-6974717263535.0
Doanh thu hoạt độngtài chính,Doanh thu hoạt độngtài chính,Doanh thu hoạt độngtài chính,21,31.829.854.160,9.076.978.227,40.906.832.387,21.0,31829854160.0,9076978227.0,40906832387.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,(135.430.576.934),(5.085.736.800),(140.516.313.734),25.0,-135430576934.0,-5085736800.0,-140516313734.0
Chi phí quản lýdoanh nghiệp,Chi phí quản lýdoanh nghiệp,Chi phí quản lýdoanh nghiệp,26,(187.659.992.197),(292.959.305),(187.952.951.502),26.0,-187659992197.0,-292959305.0,-187952951502.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,8.901.167.449,2.621.812.186,11.522.979.635,31.0,8901167449.0,2621812186.0,11522979635.0
Tổng lợi nhuận kếtoán trước thuế,Tổng lợi nhuận kếtoán trước thuế,Tổng lợi nhuận kếtoán trước thuế,50,805.934.517.330,6.476.050.847,812.410.568.177,50.0,805934517330.0,6476050847.0,812410568177.0
Chi phí thuế TNDNhiện hành,Chi phí thuế TNDNhiện hành,Chi phí thuế TNDNhiện hành,51,(167.176.001.396),(14.219.736.178),(181.395.737.574),51.0,-167176001396.0,-14219736178.0,-181395737574.0
Lợi nhuận sau thuếTNDN,Lợi nhuận sau thuếTNDN,Lợi nhuận sau thuếTNDN,60,641.440.882.926,(7.743.685.331),633.697.197.595,60.0,641440882926.0,-7743685331.0,633697197595.0
Lợi nhuận sau thuếcủa công ty mẹ,Lợi nhuận sau thuếcủa công ty mẹ,Lợi nhuận sau thuếcủa công ty mẹ,61,641.396.790.128,(7.743.685.331),633.653.104.797,61.0,641396790128.0,-7743685331.0,633653104797.0
Lãi cơ bản trêncổ phiếu,Lãi cơ bản trêncổ phiếu,Lãi cơ bản trêncổ phiếu,70,1.681,(250),1.431,70.0,1681.0,-250.0,1431.0
BÁO CÁO LƯU CHUYÊN TIỀN TỆ HỢP NHẤT,BÁO CÁO LƯU CHUYÊN TIỀN TỆ HỢP NHẤT,BÁO CÁO LƯU CHUYÊN TIỀN TỆ HỢP NHẤT,BÁO CÁO LƯU CHUYÊN TIỀN TỆ HỢP NHẤT,BÁO CÁO LƯU CHUYÊN TIỀN TỆ HỢP NHẤT,BÁO CÁO LƯU CHUYÊN TIỀN TỆ HỢP NHẤT,BÁO CÁO LƯU CHUYÊN TIỀN TỆ HỢP NHẤT,,,,
Lợi nhuận trước thuếKhấu hao tài sản cốđịnh hữu hình,BÁO CÁO LƯU CHUYÊN TIỀN TỆ HỢP NHẤT > Lợi nhuận trước thuếKhấu hao tài sản cốđịnh hữu hình,Lợi nhuận trước thuếKhấu hao tài sản cốđịnh hữu hình,1,805.934.517.330,6.476.050.847,812.410.568.177,1.0,805934517330.0,6476050847.0,812410568177.0
Lợi nhuận trước thuếKhấu hao tài sản cốđịnh hữu hình,BÁO CÁO LƯU CHUYÊN TIỀN TỆ HỢP NHẤT > Lợi nhuận trước thuếKhấu hao tài sản cốđịnh hữu hình,Lợi nhuận trước thuếKhấu hao tài sản cốđịnh hữu hình,2,728.230.682.314,884.914.223,729.115.596.537,2.0,728230682314.0,884914223.0,729115596537.0
Các khoản dự phòngLãi chênh lệch tỷ giáhối đoái do đánh giálại các khoản mục tiệtệ có gốc ngoại tệLãi từ hoạt độngđầu tư,BÁO CÁO LƯU CHUYÊN TIỀN TỆ HỢP NHẤT > Các khoản dự phòngLãi chênh lệch tỷ giáhối đoái do đánh giálại các khoản mục tiệtệ có gốc ngoại tệLãi từ hoạt độngđầu tư,Các khoản dự phòngLãi chênh lệch tỷ giáhối đoái do đánh giálại các khoản mục tiệtệ có gốc ngoại tệLãi từ hoạt độngđầu tư,3,11.132.480.546,(12.763.647.351),(1.631.166.805),3.0,11132480546.0,-12763647351.0,-1631166805.0
Các khoản dự phòngLãi chênh lệch tỷ giáhối đoái do đánh giálại các khoản mục tiệtệ có gốc ngoại tệLãi từ hoạt độngđầu tư,BÁO CÁO LƯU CHUYÊN TIỀN TỆ HỢP NHẤT > Các khoản dự phòngLãi chênh lệch tỷ giáhối đoái do đánh giálại các khoản mục tiệtệ có gốc ngoại tệLãi từ hoạt độngđầu tư,Các khoản dự phòngLãi chênh lệch tỷ giáhối đoái do đánh giálại các khoản mục tiệtệ có gốc ngoại tệLãi từ hoạt độngđầu tư,4,(491.564.360),(9.076.978.227),(9.568.542.587),4.0,-491564360.0,-9076978227.0,-9568542587.0
Các khoản dự phòngLãi chênh lệch tỷ giáhối đoái do đánh giálại các khoản mục tiệtệ có gốc ngoại tệLãi từ hoạt độngđầu tư,BÁO CÁO LƯU CHUYÊN TIỀN TỆ HỢP NHẤT > Các khoản dự phòngLãi chênh lệch tỷ giáhối đoái do đánh giálại các khoản mục tiệtệ có gốc ngoại tệLãi từ hoạt độngđầu tư,Các khoản dự phòngLãi chênh lệch tỷ giáhối đoái do đánh giálại các khoản mục tiệtệ có gốc ngoại tệLãi từ hoạt độngđầu tư,5,(15.226.283.090),(2.319.613.449),(17.545.896.539),5.0,-15226283090.0,-2319613449.0,-17545896539.0
Giảm các khoảnphải thu,BÁO CÁO LƯU CHUYÊN TIỀN TỆ HỢP NHẤT > Giảm các khoảnphải thu,Giảm các khoảnphải thu,9,60.806.601.994,(2.625.105.973),58.181.496.021,9.0,60806601994.0,-2625105973.0,58181496021.0
Giảm hàng tồn kho,BÁO CÁO LƯU CHUYÊN TIỀN TỆ HỢP NHẤT > Giảm hàng tồn kho,Giảm hàng tồn kho,10,174.677.252.186,(2.586.716.559),172.090.535.627,10.0,174677252186.0,-2586716559.0,172090535627.0
