row_label_raw,row_label_full,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Số cuối năm > Giá gốc > 388.299,Số cuối năm > Dự phòng > -,Số cuối năm > Giá trị hợp lý > 388.299,Số đầu năm > Giá gốc > 388.299,Số đầu năm > Dự phòng > -,Số đầu năm > Giá trị hợp lý > 388.299,numeric__Số cuối năm > Giá gốc > 388.299,numeric__Số cuối năm > Dự phòng > -,numeric__Số cuối năm > Giá trị hợp lý > 388.299,numeric__Số đầu năm > Giá gốc > 388.299,numeric__Số đầu năm > Dự phòng > -,numeric__Số đầu năm > Giá trị hợp lý > 388.299
Các khoản đầu tư khác,Các khoản đầu tư khác,Các khoản đầu tư khác,415.852,-,415.852,415.852,-,415.852,415852.0,,415852.0,415852.0,,415852.0
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,804.151,-,804.151,804.151,-,804.151,804151.0,,804151.0,804151.0,,804151.0
