row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm(Dã trình bày lại - Thuyết minh số 33) > Giá trị,Số đầu năm(Dã trình bày lại - Thuyết minh số 33) > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm(Dã trình bày lại - Thuyết minh số 33) > Giá trị,numeric__Số đầu năm(Dã trình bày lại - Thuyết minh số 33) > Số có khả năng trả nợ
Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,1.058.346.681.467,1.058.346.681.467,897.677.934.277,897.677.934.277,1058346681467.0,1058346681467.0,897677934277.0,897677934277.0
Phải trả cho bên liên quan(Thuyết minh số 29),Phải trả cho bên liên quan(Thuyết minh số 29),Phải trả cho bên liên quan(Thuyết minh số 29),212.378.724.364,212.378.724.364,210.471.347.810,210.471.347.810,212378724364.0,212378724364.0,210471347810.0,210471347810.0
TỔNGCỘNG,TỔNGCỘNG,TỔNGCỘNG,1.270.725.405.831,1.270.725.405.831,1.108.149.282.087,1.108.149.282.087,1270725405831.0,1270725405831.0,1108149282087.0,1108149282087.0
