row_label_raw,row_label_full,col_0,Số cuối năm,VND > Số đầu năm(Đã trình bày lại - Thuyết minh số 33),numeric__Số cuối năm,numeric__VND > Số đầu năm(Đã trình bày lại - Thuyết minh số 33)
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,6.497.120.980,5.874.141.175,6497120980.0,5874141175.0
Tạm ứng bồi thường bảo hiểm,Tạm ứng bồi thường bảo hiểm,Tạm ứng bồi thường bảo hiểm,4.338.000.000,4.338.000.000,4338000000.0,4338000000.0
Kinh phí công đoàn phải nộp,Kinh phí công đoàn phải nộp,Kinh phí công đoàn phải nộp,1.453.722.080,1.348.785.388,1453722080.0,1348785388.0
Khác,Khác,Khác,6.422.703.509,4.825.164.637,6422703509.0,4825164637.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,18.711.546.569,16.386.091.200,18711546569.0,16386091200.0
