row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Số cuối năm,Số đầu năm (Đã trình bày lại - Thuyết minh số 33),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Đã trình bày lại - Thuyết minh số 33)
200,200,200,B. TÀI SẢN DÀI HẠN,,8.214.350.776.504,8.706.135.682.929,,,8214350776504.0,8706135682929.0
210,210,210,I. Phải thu dài hạn,,12.441.761.361,11.739.437.393,,,12441761361.0,11739437393.0
216,216,216,1. Phải thu dài hạn khác,7,12.441.761.361,11.739.437.393,,7.0,12441761361.0,11739437393.0
220,220,220,II. Tài sản cố định,,6.859.092.965.728,7.477.466.806.069,,,6859092965728.0,7477466806069.0
221,221,221,1. Tài sản cố định hữu hình,10,6.760.638.072.814,7.374.571.807.076,,10.0,6760638072814.0,7374571807076.0
222,222,222,Nguyên giá,,13.535.483.075.182,13.532.485.742.098,,,13535483075182.0,13532485742098.0
223,223,223,Giá trị hao mòn lũy kế,,(6.774.845.002.368),(6.157.913.935.022),,,-6774845002368.0,-6157913935022.0
227,227,227,2. Tài sản cố định vô hình,11,98.454.892.914,102.894.998.993,,11.0,98454892914.0,102894998993.0
228,228,228,Nguyên giá,,131.640.796.263,131.055.206.083,,,131640796263.0,131055206083.0
229,229,229,Giá trị hao mòn lũy kế,,(33.185.903.349),(28.160.207.090),,,-33185903349.0,-28160207090.0
240,240,240,III. Tài sản dở dang dài hạn,,974.045.526.770,989.568.592.749,,,974045526770.0,989568592749.0
242,242,242,1. Chi phí xây dựng cơ bản dở dang,12,974.045.526.770,989.568.592.749,,12.0,974045526770.0,989568592749.0
250,250,250,IV. Đầu tư tài chính dài hạn,5.3,26.173.000.000,26.644.100.000,,53.0,26173000000.0,26644100000.0
253,253,253,1. Đầu tư góp vốn vào đơn vị khác,,56.000.000.000,56.000.000.000,,,56000000000.0,56000000000.0
254,254,254,2. Dự phòng đầu tư tài chính dài hạn,,(29.827.000.000),(29.355.900.000),,,-29827000000.0,-29355900000.0
260,260,260,V. Tài sản dài hạn khác,,342.597.522.645,200.716.746.718,,,342597522645.0,200716746718.0
261,261,261,1. Chi phí trả trước dài hạn,9,223.114.210.030,88.558.891.150,,9.0,223114210030.0,88558891150.0
262,262,262,2. Tài sản thuế thu nhập hoãn lại,28.3,7.824.114.066,5.112.768.042,,283.0,7824114066.0,5112768042.0
263,263,263,"3. Thiết bị vật tư, phụ tùng thay thế dài hạn",,111.424.840.755,106.777.250.048,,,111424840755.0,106777250048.0
269,269,269,4. Lợi thế thương mại,,234.357.794,267.837.478,,,234357794.0,267837478.0
270,270,270,TỔNG CỘNG TÀI SẢN,,10.288.564.690.005,10.634.650.987.571,,,10288564690005.0,10634650987571.0
