row_label_raw,row_label_full,col_0,Số đầu năm(Đã trình bày lại -Thuyết minh số 33),Số tăngtrong năm,Số giảmtrong năm,VNDSố cuối năm,numeric__Số đầu năm(Đã trình bày lại -Thuyết minh số 33),numeric__Số tăngtrong năm,numeric__Số giảmtrong năm,numeric__VNDSố cuối năm
"Thuế thu nhập doanh nghiệp(""TNDN"")","Thuế thu nhập doanh nghiệp(""TNDN"")","Thuế thu nhập doanh nghiệp(""TNDN"")",70.646.572.368,190.059.148.853,(214.932.091.398),45.773.629.823,70646572368.0,190059148853.0,-214932091398.0,45773629823.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,25.066.755.387,225.204.884.650,(249.446.570.659),825.069.378,25066755387.0,225204884650.0,-249446570659.0,825069378.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,5.064.029.457,22.353.526.553,(22.254.561.577),5.162.994.433,5064029457.0,22353526553.0,-22254561577.0,5162994433.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,5.149.936.473,47.099.019.052,(48.341.877.496),3.907.078.029,5149936473.0,47099019052.0,-48341877496.0,3907078029.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,3.311.386.350,(3.311.386.350),-,,3311386350.0,-3311386350.0,
"Thuế, phí khác","Thuế, phí khác","Thuế, phí khác",18.065.361.796,73.708.047.716,(90.177.514.006),1.595.895.506,18065361796.0,73708047716.0,-90177514006.0,1595895506.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,123.992.655.481,561.736.013.174,(628.464.001.486),57.264.667.169,123992655481.0,561736013174.0,-628464001486.0,57264667169.0
