row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
Công ty TNHH Siam City Cement Việt Nam,Phải thu ngắn hạn của khách hàng > Công ty TNHH Siam City Cement Việt Nam,Công ty TNHH Siam City Cement Việt Nam,Đơn vị thành viên trong cùng Tổng Công ty,Bán cát,249.975.000,208.312.500,,,249975000.0,208312500.0
Công ty Cổ phần Xi măng Vicem Bút Sơn,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Xi măng Vicem Bút Sơn,Công ty Cổ phần Xi măng Vicem Bút Sơn,Đơn vị thành viên trong cùng Tổng Công ty,Bán cát,-,310.965.750,,,,310965750.0
Công ty Cổ phần Xi măng Vicem Hoàng Mai,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Xi măng Vicem Hoàng Mai,Công ty Cổ phần Xi măng Vicem Hoàng Mai,Đơn vị thành viên trong cùng Tổng Công ty,Bán cát,-,180.891.150,,,,180891150.0
Công ty TNHH Xi Măng Siam City Nhơn Trạch,Phải thu ngắn hạn của khách hàng > Công ty TNHH Xi Măng Siam City Nhơn Trạch,Công ty TNHH Xi Măng Siam City Nhơn Trạch,Đơn vị thành viên trong cùng Tổng Công ty,Bán cát,-,111.100.000,,,,111100000.0
,,,,,249.975.000,811.269.400,,,249975000.0,811269400.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Công ty Cổ phần Xi Măng Hạ Long,Phải thu ngắn hạn khác > Công ty Cổ phần Xi Măng Hạ Long,Công ty Cổ phần Xi Măng Hạ Long,Đơn vị thành viên trong cùng Tổng Công ty,Cho mượn nguyên vật liệu,-,26.788.480.235,,,,26788480235.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,,
Công ty Tư vấn Đầu tư Phát triển Xi măng,Trả trước cho người bán ngắn hạn > Công ty Tư vấn Đầu tư Phát triển Xi măng,Công ty Tư vấn Đầu tư Phát triển Xi măng,Đơn vị thành viên trong cùng Tổng Công ty,Phí tư vấn,513.946.000,643.581.000,,,513946000.0,643581000.0
