row_label_raw,row_label_full,col_0,Số cuối năm,VND > Số đầu năm(Đã trình bày lại - Thuyết minh số 33),numeric__Số cuối năm,numeric__VND > Số đầu năm(Đã trình bày lại - Thuyết minh số 33)
Ngắn hạn,Ngắn hạn,Ngắn hạn,2.333.150.250,4.906.350.667,2333150250.0,4906350667.0
Chi phí bảo hiểm trả trước,Chi phí bảo hiểm trả trước,Chi phí bảo hiểm trả trước,1.836.141.915,4.713.774.834,1836141915.0,4713774834.0
Khác,Khác,Khác,497.008.335,192.575.833,497008335.0,192575833.0
Dài hạn,Dài hạn,Dài hạn,223.114.210.030,88.558.891.150,223114210030.0,88558891150.0
Chi phí giải phóng mặt bằng (*),Chi phí giải phóng mặt bằng (*),Chi phí giải phóng mặt bằng (*),134.786.148.515,53.012.149.773,134786148515.0,53012149773.0
Chi phí sửa chữa lớn,Chi phí sửa chữa lớn,Chi phí sửa chữa lớn,44.381.793.254,9.746.955.395,44381793254.0,9746955395.0
Chi phí bốc tầng phủ,Chi phí bốc tầng phủ,Chi phí bốc tầng phủ,26.180.285.996,23.055.278.784,26180285996.0,23055278784.0
Khác,Khác,Khác,17.765.982.265,2.744.507.198,17765982265.0,2744507198.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,225.447.360.280,93.465.241.817,225447360280.0,93465241817.0
