row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty Cổ phần Vận tải Hà Tiên,Phải trả người bán ngắn hạn > Công ty Cổ phần Vận tải Hà Tiên,Công ty Cổ phần Vận tải Hà Tiên,Đơn vị thành viên trong cùng Tổng Công ty,Chi phí vận chuyển,(108.881.047.143),(83.288.847.167),,,-108881047143.0,-83288847167.0
Tổng Công ty Công nghiệp Xi măng Việt Nam,Phải trả người bán ngắn hạn > Tổng Công ty Công nghiệp Xi măng Việt Nam,Tổng Công ty Công nghiệp Xi măng Việt Nam,Công ty mẹ,Phí tư vấn,(74.136.376.902),(70.203.888.650),,,-74136376902.0,-70203888650.0
Công ty TNHH MTV Xi măng Hạ Long,Phải trả người bán ngắn hạn > Công ty TNHH MTV Xi măng Hạ Long,Công ty TNHH MTV Xi măng Hạ Long,Đơn vị thành viên trong cùng Tổng Công ty,Phí gia công,(14.789.403.915),(32.427.528.252),,,-14789403915.0,-32427528252.0
Công ty Cổ phần Bao bì Hà Tiên,Phải trả người bán ngắn hạn > Công ty Cổ phần Bao bì Hà Tiên,Công ty Cổ phần Bao bì Hà Tiên,Đơn vị thành viên trong cùng Tổng Công ty,Mua nguyên vật liệu,(4.783.572.845),(2.567.659.176),,,-4783572845.0,-2567659176.0
Công ty Cổ phần Vicem Vật liệu xây dựng Đà Nẵng,Phải trả người bán ngắn hạn > Công ty Cổ phần Vicem Vật liệu xây dựng Đà Nẵng,Công ty Cổ phần Vicem Vật liệu xây dựng Đà Nẵng,Đơn vị thành viên trong cùng Tổng Công ty,Mua vỏ bao,(4.618.611.756),(579.451.752),,,-4618611756.0,-579451752.0
Công ty Cổ phần Xi Măng Vicem Hoàng Mai,Phải trả người bán ngắn hạn > Công ty Cổ phần Xi Măng Vicem Hoàng Mai,Công ty Cổ phần Xi Măng Vicem Hoàng Mai,Đơn vị thành viên trong cùng Tổng Công ty,Phí gia công,-,(9.192.000.000),,,,-9192000000.0
Công ty Cổ phần Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Phải trả người bán ngắn hạn > Công ty Cổ phần Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Công ty Cổ phần Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Đơn vị thành viên trong cùng Tổng Công ty,Mua clinker,(3.037.223.794),-,,,-3037223794.0,
Công ty Tư vấn Đầu tư Phát triển Xi măng,Phải trả người bán ngắn hạn > Công ty Tư vấn Đầu tư Phát triển Xi măng,Công ty Tư vấn Đầu tư Phát triển Xi măng,Đơn vị thành viên trong cùng Tổng Công ty,Chi phí vận chuyển,(2.092.522.509),(2.448.666.680),,,-2092522509.0,-2448666680.0
Chi nhánh Công ty TNHH Một thành viên Xi măng Vicem Hoàng Thạch – Xí nghiệp Tiêu thụ và Dịch vụ,Phải trả người bán ngắn hạn > Chi nhánh Công ty TNHH Một thành viên Xi măng Vicem Hoàng Thạch – Xí nghiệp Tiêu thụ và Dịch vụ,Chi nhánh Công ty TNHH Một thành viên Xi măng Vicem Hoàng Thạch – Xí nghiệp Tiêu thụ và Dịch vụ,Đơn vị thành viên trong cùng Tổng Công ty,Phí tư vấn,(39.965.500),(259.501.300),,,-39965500.0,-259501300.0
