row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Vốn khác thuộc chủ sở hữu,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác thuộc chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Năm trước (Đã trình bày lại - Thuyết minh số 33),Năm trước (Đã trình bày lại - Thuyết minh số 33),Năm trước (Đã trình bày lại - Thuyết minh số 33),Năm trước (Đã trình bày lại - Thuyết minh số 33),Năm trước (Đã trình bày lại - Thuyết minh số 33),Năm trước (Đã trình bày lại - Thuyết minh số 33),Năm trước (Đã trình bày lại - Thuyết minh số 33),Năm trước (Đã trình bày lại - Thuyết minh số 33),Năm trước (Đã trình bày lại - Thuyết minh số 33),Năm trước (Đã trình bày lại - Thuyết minh số 33),,,,,,,
Số đầu năm,Năm trước (Đã trình bày lại - Thuyết minh số 33) > Số đầu năm,Số đầu năm,3.815.899.110.000,70.790.410.045,5.517.214.120,(902.752.100),366.706.495.008,922.915.352.519,5.180.925.829.592,3815899110000.0,70790410045.0,5517214120.0,-902752100.0,366706495008.0,922915352519.0,5180925829592.0
Cổ tức công bố,Năm trước (Đã trình bày lại - Thuyết minh số 33) > Cổ tức công bố,Cổ tức công bố,-,-,-,-,-,(572.312.866.500),(572.312.866.500),,,,,,-572312866500.0,-572312866500.0
Lợi nhuận thuần trong năm,Năm trước (Đã trình bày lại - Thuyết minh số 33) > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,633.653.104.797,633.653.104.797,,,,,,633653104797.0,633653104797.0
Phân phối lợi nhuận,Năm trước (Đã trình bày lại - Thuyết minh số 33) > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,147.459.000.000,(228.649.000.000),(81.190.000.000),,,,,147459000000.0,-228649000000.0,-81190000000.0
Điều chuyển quỹ,Năm trước (Đã trình bày lại - Thuyết minh số 33) > Điều chuyển quỹ,Điều chuyển quỹ,-,-,(5.517.214.120),-,5.517.214.120,-,-,,,-5517214120.0,,5517214120.0,,
Số cuối năm,Năm trước (Đã trình bày lại - Thuyết minh số 33) > Số cuối năm,Số cuối năm,3.815.899.110.000,70.790.410.045,-,(902.752.100),519.682.709.128,755.606.590.816,5.161.076.067.889,3815899110000.0,70790410045.0,,-902752100.0,519682709128.0,755606590816.0,5161076067889.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.815.899.110.000,70.790.410.045,-,(902.752.100),519.682.709.128,755.606.590.816,5.161.076.067.889,3815899110000.0,70790410045.0,,-902752100.0,519682709128.0,755606590816.0,5161076067889.0
Cổ tức công bố (*),Năm nay > Cổ tức công bố (*),Cổ tức công bố (*),-,-,-,-,-,(457.850.293.200),(457.850.293.200),,,,,,-457850293200.0,-457850293200.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,740.363.195.812,740.363.195.812,,,,,,740363195812.0,740363195812.0
Phân phối lợi nhuận (**),Năm nay > Phân phối lợi nhuận (**),Phân phối lợi nhuận (**),-,-,-,-,96.202.000.000,(183.742.000.000),(87.540.000.000),,,,,96202000000.0,-183742000000.0,-87540000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.815.899.110.000,70.790.410.045,-,(902.752.100),615.884.709.128,854.377.493.428,5.356.048.970.501,3815899110000.0,70790410045.0,,-902752100.0,615884709128.0,854377493428.0,5356048970501.0
