row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Bản quyền,Chương trình phần mềm,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Bản quyền,numeric__Chương trình phần mềm,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,102.202.954.505,3.247.354.120,25.604.897.458,131.055.206.083,102202954505.0,3247354120.0,25604897458.0,131055206083.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,-,-,665.000.000,665.000.000,,,665000000.0,665000000.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,-,(79.409.820),(79.409.820),,,-79409820.0,-79409820.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,102.202.954.505,3.247.354.120,26.190.487.638,131.640.796.263,102202954505.0,3247354120.0,26190487638.0,131640796263.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Đã hao mòn hết,Trong đó: > Đã hao mòn hết,Đã hao mòn hết,1.789.508.560,3.247.354.120,5.120.475.958,10.157.338.638,1789508560.0,3247354120.0,5120475958.0,10157338638.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,6.597.262.245,3.247.354.120,18.315.590.725,28.160.207.090,6597262245.0,3247354120.0,18315590725.0,28160207090.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,519.964.395,-,4.585.141.684,5.105.106.079,519964395.0,,4585141684.0,5105106079.0
Thanh lý,Giá trị hao mòn lũy kế: > Thanh lý,Thanh lý,-,-,(79.409.820),(79.409.820),,,-79409820.0,-79409820.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,7.117.226.640,3.247.354.120,22.821.322.589,33.185.903.349,7117226640.0,3247354120.0,22821322589.0,33185903349.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,95.605.692.260,-,7.289.306.733,102.894.998.993,95605692260.0,,7289306733.0,102894998993.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,95.085.727.865,-,3.369.165.049,98.454.892.914,95085727865.0,,3369165049.0,98454892914.0
