row_label_raw,row_label_full,col_0,Giá trị ghi sổ trước thời điểm mua Nghìn VND,Các điều chỉnh giá trị hợp lý Nghìn VND,Giá trị ghi nhận tại thời điểm mua Nghìn VND,numeric__Giá trị ghi sổ trước thời điểm mua Nghìn VND,numeric__Các điều chỉnh giá trị hợp lý Nghìn VND,numeric__Giá trị ghi nhận tại thời điểm mua Nghìn VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,940.189.999,-,940.189.999,940189999.0,,940189999.0
Hàng tồn kho – thuần,Hàng tồn kho – thuần,Hàng tồn kho – thuần,1.672.825.666,(27.102.920),1.645.722.746,1672825666.0,-27102920.0,1645722746.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,1.023.150.088,-,1.023.150.088,1023150088.0,,1023150088.0
Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,1.644.135.046,2.426.234.824,4.070.369.870,1644135046.0,2426234824.0,4070369870.0
Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,68.441.660,3.372.981.832,3.441.423.492,68441660.0,3372981832.0,3441423492.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,509.842.300,199.528.207,709.370.507,509842300.0,199528207.0,709370507.0
Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,(1.346.965.449),-,(1.346.965.449),-1346965449.0,,-1346965449.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,(5.497.091.306),(1.671.344.182),(7.168.435.488),-5497091306.0,-1671344182.0,-7168435488.0
Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,50.670.274,(99.962.179),(49.291.905),50670274.0,-99962179.0,-49291905.0
Tổng tài sản và nợ phải trả thuần có thể xác định được,Tổng tài sản và nợ phải trả thuần có thể xác định được,Tổng tài sản và nợ phải trả thuần có thể xác định được,(934.801.722),4.200.335.582,3.265.533.860,-934801722.0,4200335582.0,3265533860.0
Lợi thế thương mại âm (lãi từ giao dịch mua giá rè) do hợp nhất kinh doanh (Thuyết minh 29),Lợi thế thương mại âm (lãi từ giao dịch mua giá rè) do hợp nhất kinh doanh (Thuyết minh 29),Lợi thế thương mại âm (lãi từ giao dịch mua giá rè) do hợp nhất kinh doanh (Thuyết minh 29),,,(1.298.081.205),,,-1298081205.0
Tổng giá phí hợp nhất kinh doanh (i),Tổng giá phí hợp nhất kinh doanh (i),Tổng giá phí hợp nhất kinh doanh (i),,,1.967.452.655,,,1967452655.0
Tiền thuần chi cho hợp nhất kinh doanh,Tiền thuần chi cho hợp nhất kinh doanh,Tiền thuần chi cho hợp nhất kinh doanh,Tiền thuần chi cho hợp nhất kinh doanh,Tiền thuần chi cho hợp nhất kinh doanh,Tiền thuần chi cho hợp nhất kinh doanh,,,
Tổng giá phí hợp nhất kinh doanh(bao gồm chi phí giao dịch) (i),Tiền thuần chi cho hợp nhất kinh doanh > Tổng giá phí hợp nhất kinh doanh(bao gồm chi phí giao dịch) (i),Tổng giá phí hợp nhất kinh doanh(bao gồm chi phí giao dịch) (i),,,1.967.452.655,,,1967452655.0
Phải thu về giảm giá mua (Thuyết minh số 10),Tiền thuần chi cho hợp nhất kinh doanh > Phải thu về giảm giá mua (Thuyết minh số 10),Phải thu về giảm giá mua (Thuyết minh số 10),,,26.476.816,,,26476816.0
Khoản thanh toán cho việc mua lại,Tiền thuần chi cho hợp nhất kinh doanh > Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,,,1.993.929.471,,,1993929471.0
Tăng tiền từ hợp nhất kinh doanh,Tiền thuần chi cho hợp nhất kinh doanh > Tăng tiền từ hợp nhất kinh doanh,Tăng tiền từ hợp nhất kinh doanh,,,(940.189.999),,,-940189999.0
Khoản tiền thanh toán thuần,Tiền thuần chi cho hợp nhất kinh doanh > Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,,,1.053.739.472,,,1053739472.0
