row_label_raw,row_label_full,Thuế phải nộp Nhà nước Việt Nam > Thuế giá trị gia tăng,1/1/2020Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,Tăng do hợp nhất kinh doanh Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,Số phải nộp trong năm Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > 333.350.890,Số đã nộp/bù trừ trong năm Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > (333.350.890),Chênh lệch do chuyển đổi tiền tệ Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,31/12/2020Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,numeric__1/1/2020Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,numeric__Tăng do hợp nhất kinh doanh Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,numeric__Số phải nộp trong năm Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > 333.350.890,numeric__Số đã nộp/bù trừ trong năm Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > (333.350.890),numeric__Chênh lệch do chuyển đổi tiền tệ Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,numeric__31/12/2020Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,-,666.641.059,(666.641.059),-,-,,,666641059.0,-666641059.0,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,134.400.473,-,(3.805.730),(130.139.941),-,454.802,134400473.0,,-3805730.0,-130139941.0,,454802.0
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,-,-,28.888.859,(28.888.859),-,-,,,28888859.0,-28888859.0,,
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,63.044.211,-,139.858.517,(194.121.425),-,8.781.303,63044211.0,,139858517.0,-194121425.0,,8781303.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,-,316.951.961,(316.951.961),-,-,,,316951961.0,-316951961.0,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,2.276.799,-,24.946.981,(23.360.462),-,3.863.318,2276799.0,,24946981.0,-23360462.0,,3863318.0
,,,199.721.483,-,1.506.832.537,(1.693.454.597),-,13.099.423,199721483.0,,1506832537.0,-1693454597.0,,13099423.0
Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,,,,,,
Thuế thu nhập doanh nghiệp,Thuế phải nộp cho cơ quan thuế nước ngoài > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,92.822.622,24.460.388,(24.452.265),8.514.328,101.345.073,,92822622.0,24460388.0,-24452265.0,8514328.0,101345073.0
Các loại thuế khác,Thuế phải nộp cho cơ quan thuế nước ngoài > Các loại thuế khác,Các loại thuế khác,-,89.618.155,-,(46.698.761),5.312.891,48.232.285,,89618155.0,,-46698761.0,5312891.0,48232285.0
,,,-,182.440.777,24.460.388,(71.151.026),13.827.219,149.577.358,,182440777.0,24460388.0,-71151026.0,13827219.0,149577358.0
,,,199.721.483,182.440.777,1.531.292.925,(1.764.605.623),13.827.219,162.676.781,199721483.0,182440777.0,1531292925.0,-1764605623.0,13827219.0,162676781.0
