row_label_raw,row_label_full,col_0,1/1/2020Nghìn VND,Tăng do hợp nhất kinh doanh(Thuyết minh 5)Nghìn VND,Được ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhấtNghìn VND,Được ghi nhận trong vốn chủ sở hữuNghìn VND,31/12/2020Nghìn VND,numeric__1/1/2020Nghìn VND,numeric__Tăng do hợp nhất kinh doanh(Thuyết minh 5)Nghìn VND,numeric__Được ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhấtNghìn VND,numeric__Được ghi nhận trong vốn chủ sở hữuNghìn VND,numeric__31/12/2020Nghìn VND
Trữ lượng khai thác và trữ lượng địa chất,Trữ lượng khai thác và trữ lượng địa chất,Trữ lượng khai thác và trữ lượng địa chất,(583.078.428),-,31.001.394,-,(552.077.034),-583078428.0,,31001394.0,,-552077034.0
Lỗ chưa thực hiện từ các giao dịch nội bộ,Lỗ chưa thực hiện từ các giao dịch nội bộ,Lỗ chưa thực hiện từ các giao dịch nội bộ,(3.900.260),-,(41.153.814),-,(45.054.074),-3900260.0,,-41153814.0,,-45054074.0
Tài sản quan hệ có từ trước,Tài sản quan hệ có từ trước,Tài sản quan hệ có từ trước,-,22.384.346,(2.338.663),-,20.045.683,,22384346.0,-2338663.0,,20045683.0
Tái xác định dự phòng trợ cấp hưu trí (**),Tái xác định dự phòng trợ cấp hưu trí (**),Tái xác định dự phòng trợ cấp hưu trí (**),-,1.163.407.482,-,117.949.958,1.281.357.440,,1163407482.0,,117949958.0,1281357440.0
Giá trị thuế của các khoản lỗ mang sang,Giá trị thuế của các khoản lỗ mang sang,Giá trị thuế của các khoản lỗ mang sang,-,38.391.743,143.767.487,5.224.169,187.383.399,,38391743.0,143767487.0,5224169.0,187383399.0
Chi phí phải trả và các khoản dự phòng,Chi phí phải trả và các khoản dự phòng,Chi phí phải trả và các khoản dự phòng,-,(267.482.770),2.590.356,(26.905.128),(291.797.542),,-267482770.0,2590356.0,-26905128.0,-291797542.0
Tài sản vô hình mới được xác định từ hợp nhất kinh doanh,Tài sản vô hình mới được xác định từ hợp nhất kinh doanh,Tài sản vô hình mới được xác định từ hợp nhất kinh doanh,-,(951.280.572),26.022.880,(85.632.871),(1.010.890.563),,-951280572.0,26022880.0,-85632871.0,-1010890563.0
Điều chỉnh giá trị hợp lý của tài sản khác từ hợp nhất kinh doanh,Điều chỉnh giá trị hợp lý của tài sản khác từ hợp nhất kinh doanh,Điều chỉnh giá trị hợp lý của tài sản khác từ hợp nhất kinh doanh,-,(667.132.172),25.276.373,(41.049.435),(682.905.234),,-667132172.0,25276373.0,-41049435.0,-682905234.0
Các khoản khác,Các khoản khác,Các khoản khác,-,(42.865.105),(16.509.558),3.962.729,(55.411.934),,-42865105.0,-16509558.0,3962729.0,-55411934.0
,,,(586.978.688),(704.577.048),168.656.455,(26.450.578),(1.149.349.859),-586978688.0,-704577048.0,168656455.0,-26450578.0,-1149349859.0
