row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2020Nghìn VND,1/1/2020Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2020Nghìn VND,numeric__1/1/2020Nghìn VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),TÀI SẢN > Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),100,,9.756.298.985,7.581.595.985,100.0,,9756298985.0,7581595985.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,6,761.930.286,1.723.204.606,110.0,6.0,761930286.0,1723204606.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,705.930.286,941.446.956,111.0,,705930286.0,941446956.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,56.000.000,781.757.650,112.0,,56000000.0,781757650.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,7,-,5.900.000,120.0,7.0,,5900000.0
Đầu tư nấm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nấm giữ đến ngày đáo hạn,Đầu tư nấm giữ đến ngày đáo hạn,123,,-,5.900.000,123.0,,,5900000.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,2.771.124.731,1.735.574.636,130.0,,2771124731.0,1735574636.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,8,1.166.693.898,280.413.823,131.0,8.0,1166693898.0,280413823.0
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,139.861.845,204.604.439,132.0,,139861845.0,204604439.0
Phải thu về cho vay ngắn hạn,TÀI SẢN > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,9,1.143.479.452,1.000.000.000,135.0,9.0,1143479452.0,1000000000.0
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,10,321.089.536,250.556.374,136.0,10.0,321089536.0,250556374.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,11,4.880.128.480,3.139.024.753,140.0,11.0,4880128480.0,3139024753.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,4.969.141.648,3.139.024.753,141.0,,4969141648.0,3139024753.0
Dự phòng giảm giá hàng tồn kho,TÀI SẢN > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,149,,(89.013.168),-,149.0,,-89013168.0,
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,1.343.115.488,977.891.990,150.0,,1343115488.0,977891990.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,,56.241.220,41.186.774,151.0,,56241220.0,41186774.0
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,1.286.793.842,936.705.216,152.0,,1286793842.0,936705216.0
Thuế và các khoản khác phải thu Nhà nước,TÀI SẢN > Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,,80.426,-,153.0,,80426.0,
