row_label_raw,row_label_full,col_0,Khôi phục hiện trường Nghìn VND,Quyền khai thác khoáng sản Nghìn VND,Quỹ hưu trí và phụ cấp khác Nghìn VND,Tổng cộng Nghìn VND,numeric__Khôi phục hiện trường Nghìn VND,numeric__Quyền khai thác khoáng sản Nghìn VND,numeric__Quỹ hưu trí và phụ cấp khác Nghìn VND,numeric__Tổng cộng Nghìn VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,99.121.941,429.781.166,-,528.903.107,99121941.0,429781166.0,,528903107.0
Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,-,-,5.946.290.580,5.946.290.580,,,5946290580.0,5946290580.0
Dự phòng lập trong năm,Dự phòng lập trong năm,Dự phòng lập trong năm,4.678.557,33.613.058,71.885.161,110.176.776,4678557.0,33613058.0,71885161.0,110176776.0
Tái xác định dự phòng trợ cấp hưu trí (*),Tái xác định dự phòng trợ cấp hưu trí (*),Tái xác định dự phòng trợ cấp hưu trí (*),-,-,514.337.973,514.337.973,,,514337973.0,514337973.0
Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,-,(73.145.651),(142.227.470),(215.373.121),,-73145651.0,-142227470.0,-215373121.0
Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,-,-,573.041.087,573.041.087,,,573041087.0,573041087.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,103.800.498,390.248.573,6.963.327.331,7.457.376.402,103800498.0,390248573.0,6963327331.0,7457376402.0
