row_label_raw,row_label_full,col_0,31/12/2020Nghìn VND,1/1/2020Nghìn VND,numeric__31/12/2020Nghìn VND,numeric__1/1/2020Nghìn VND
Phải thu ngắn hạn,Phải thu ngắn hạn,Phải thu ngắn hạn,Phải thu ngắn hạn,Phải thu ngắn hạn,,
Phải thu tiền cấp quyền khai thác khoáng sản (a),Phải thu ngắn hạn > Phải thu tiền cấp quyền khai thác khoáng sản (a),Phải thu tiền cấp quyền khai thác khoáng sản (a),239.835.807,239.835.807,239835807.0,239835807.0
Lãi tiền gửi,Phải thu ngắn hạn > Lãi tiền gửi,Lãi tiền gửi,19.197.889,1.833.157,19197889.0,1833157.0
Phải thu từ giảm giá mua theo SPA (c),Phải thu ngắn hạn > Phải thu từ giảm giá mua theo SPA (c),Phải thu từ giảm giá mua theo SPA (c),26.476.816,-,26476816.0,
Phải thu ngắn hạn khác,Phải thu ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,35.579.024,8.887.410,35579024.0,8887410.0
,,,321.089.536,250.556.374,321089536.0,250556374.0
Phải thu dài hạn,Phải thu dài hạn,Phải thu dài hạn,Phải thu dài hạn,Phải thu dài hạn,,
Phải thu tiền bồi thường giải phóng mặt bằng từ UBND,Phải thu tiền bồi thường giải phóng mặt bằng từ UBND,Phải thu tiền bồi thường giải phóng mặt bằng từ UBND,,,,
Tỉnh Thái Nguyên (b),Phải thu tiền bồi thường giải phóng mặt bằng từ UBND > Tỉnh Thái Nguyên (b),Tỉnh Thái Nguyên (b),1.234.392.503,1.249.999.696,1234392503.0,1249999696.0
Nộp tiền ký quỹ cho Quỹ Bảo vệ Môi trường (d),Phải thu tiền bồi thường giải phóng mặt bằng từ UBND > Nộp tiền ký quỹ cho Quỹ Bảo vệ Môi trường (d),Nộp tiền ký quỹ cho Quỹ Bảo vệ Môi trường (d),61.310.120,53.306.374,61310120.0,53306374.0
Phải thu dài hạn khác,Phải thu tiền bồi thường giải phóng mặt bằng từ UBND > Phải thu dài hạn khác,Phải thu dài hạn khác,2.607.828,562.828,2607828.0,562828.0
,,,1.298.310.451,1.303.868.898,1298310451.0,1303868898.0
