row_label_raw,row_label_full,col_0,31/12/2020Nghìn VND,1/1/2020Nghìn VND,numeric__31/12/2020Nghìn VND,numeric__1/1/2020Nghìn VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Phải trả cho Công ty Cổ phần Tập đoàn Masan (“MSN”) – công ty mẹ cấp cao nhất,Phải trả cho Công ty Cổ phần Tập đoàn Masan (“MSN”) – công ty mẹ cấp cao nhất,Phải trả cho Công ty Cổ phần Tập đoàn Masan (“MSN”) – công ty mẹ cấp cao nhất,Phải trả cho Công ty Cổ phần Tập đoàn Masan (“MSN”) – công ty mẹ cấp cao nhất,Phải trả cho Công ty Cổ phần Tập đoàn Masan (“MSN”) – công ty mẹ cấp cao nhất,,
Chi phí tài chính – ngắn hạn (a),Phải trả cho Công ty Cổ phần Tập đoàn Masan (“MSN”) – công ty mẹ cấp cao nhất > Chi phí tài chính – ngắn hạn (a),Chi phí tài chính – ngắn hạn (a),244.123.839,1.124.123.839,244123839.0,1124123839.0
Phải trả cho Công ty Cổ phần Tầm nhìn Masan (“MH”) – công ty mẹ trực tiếp,Phải trả cho Công ty Cổ phần Tầm nhìn Masan (“MH”) – công ty mẹ trực tiếp,Phải trả cho Công ty Cổ phần Tầm nhìn Masan (“MH”) – công ty mẹ trực tiếp,Phải trả cho Công ty Cổ phần Tầm nhìn Masan (“MH”) – công ty mẹ trực tiếp,Phải trả cho Công ty Cổ phần Tầm nhìn Masan (“MH”) – công ty mẹ trực tiếp,,
Phi thương mại – ngắn hạn (b),Phải trả cho Công ty Cổ phần Tầm nhìn Masan (“MH”) – công ty mẹ trực tiếp > Phi thương mại – ngắn hạn (b),Phi thương mại – ngắn hạn (b),2.511.785,2.511.785,2511785.0,2511785.0
Phải trả khác cho các bên khác,Phải trả khác cho các bên khác,Phải trả khác cho các bên khác,Phải trả khác cho các bên khác,Phải trả khác cho các bên khác,,
Phải trả do chấm dứt hợp đồng bao tiêu với khách hàng,Phải trả khác cho các bên khác > Phải trả do chấm dứt hợp đồng bao tiêu với khách hàng,Phải trả do chấm dứt hợp đồng bao tiêu với khách hàng,47.056.004,-,47056004.0,
Phải trả khác – ngắn hạn,Phải trả khác cho các bên khác > Phải trả khác – ngắn hạn,Phải trả khác – ngắn hạn,12.991.835,339.972,12991835.0,339972.0
,,,306.683.463,1.126.975.596,306683463.0,1126975596.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Phải trả các bên khác,Phải trả các bên khác,Phải trả các bên khác,Phải trả các bên khác,Phải trả các bên khác,,
Phải trả khác – dài hạn,Phải trả các bên khác > Phải trả khác – dài hạn,Phải trả khác – dài hạn,500.170,-,500170.0,
